dataset,unit_type,method,B,cost_ratio,C_rev,n_units,mean_delta,ci_2.5,ci_97.5,permutation_p,wilcoxon_p,cs_wins_pct,holm_p
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.8,3.0,1.0,1200,0.13275,0.11883333333333335,0.14708333333333334,9.999000099990002e-05,9.449246079767197e-60,21.166666666666668,
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.8,3.0,2.0,1200,0.12308333333333332,0.10533333333333332,0.1405833333333333,9.999000099990002e-05,2.309729666904775e-32,29.916666666666668,
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.8,5.0,0.25,1200,0.04029166666666666,0.029457812499999996,0.05220833333333333,9.999000099990002e-05,0.9908838371817319,34.333333333333336,
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.8,5.0,0.5,1200,0.050958333333333335,0.043125,0.05900104166666666,9.999000099990002e-05,2.8889220436953683e-28,25.083333333333336,
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.8,5.0,1.0,1200,0.23200000000000004,0.21758125000000003,0.24641666666666664,9.999000099990002e-05,1.1972414054726754e-133,7.000000000000001,
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.8,5.0,2.0,1200,0.27699999999999997,0.24399999999999997,0.3101666666666667,9.999000099990002e-05,7.560685498306746e-45,31.5,
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.8,10.0,0.25,1200,0.12664583333333335,0.0978328125,0.15702187499999998,9.999000099990002e-05,0.11675643580243932,40.166666666666664,
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.8,10.0,0.5,1200,0.12091666666666666,0.09941562500000001,0.14425,9.999000099990002e-05,5.656685403743177e-26,27.416666666666668,
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.8,10.0,1.0,1200,0.321,0.3014166666666667,0.3407520833333333,9.999000099990002e-05,2.1740688079796354e-160,4.833333333333333,
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.8,10.0,2.0,1200,0.7293333333333334,0.6797500000000001,0.7800020833333333,9.999000099990002e-05,4.3919492569389994e-132,13.916666666666666,
