dataset,unit_type,method,B,cost_ratio,C_rev,n_units,mean_delta,ci_2.5,ci_97.5,permutation_p,wilcoxon_p,cs_wins_pct,holm_p
Cross-Cultural,paired_unit,s1_reverse,,5.0,0.25,1200,0.1640625,0.14041614583333334,0.1891255208333333,9.999000099990002e-05,8.886339243703644e-12,39.916666666666664,
Cross-Cultural,paired_unit,s1_reverse,,5.0,0.5,1200,0.164125,0.14183333333333334,0.18699999999999997,9.999000099990002e-05,1.550172059644603e-32,32.083333333333336,
Cross-Cultural,paired_unit,s1_reverse,,5.0,1.0,1200,0.16425,0.1439979166666667,0.18491666666666665,9.999000099990002e-05,3.7540647435284025e-50,24.333333333333336,
Cross-Cultural,paired_unit,s1_reverse,,5.0,2.0,1200,0.16450000000000004,0.13975,0.19016874999999994,9.999000099990002e-05,4.5840757384991026e-32,28.666666666666668,
Cross-Cultural,paired_unit,s1_reverse,,10.0,0.25,1200,0.41625,0.3607442708333333,0.4737723958333333,9.999000099990002e-05,7.832719262029457e-13,40.75,
Cross-Cultural,paired_unit,s1_reverse,,10.0,0.5,1200,0.41524999999999995,0.3617083333333333,0.4692927083333333,9.999000099990002e-05,3.2553597637596284e-35,32.916666666666664,
Cross-Cultural,paired_unit,s1_reverse,,10.0,1.0,1200,0.41325,0.36441666666666667,0.4634166666666667,9.999000099990002e-05,1.9819999871652363e-61,25.75,
Cross-Cultural,paired_unit,s1_reverse,,10.0,2.0,1200,0.40925,0.3648333333333334,0.4553354166666667,9.999000099990002e-05,1.9304296344418533e-59,26.083333333333332,
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.6,1.0,0.25,1200,0.0,0.0,0.0,1.0,1.0,0.0,
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.6,1.0,0.5,1200,0.0,0.0,0.0,1.0,1.0,0.0,
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.6,1.0,1.0,1200,0.0,0.0,0.0,1.0,1.0,0.0,
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.6,1.0,2.0,1200,0.0,0.0,0.0,1.0,1.0,0.0,
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.6,2.0,0.25,1200,0.007583333333333332,0.0033953125,0.011770833333333333,0.00029997000299970003,0.8151502524189855,31.583333333333336,
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.6,2.0,0.5,1200,0.01925,0.013666666666666666,0.024749999999999998,9.999000099990002e-05,2.908535873578211e-09,31.083333333333336,
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.6,2.0,1.0,1200,0.044250000000000005,0.034583333333333334,0.05366666666666667,9.999000099990002e-05,6.386086904551279e-16,25.583333333333336,
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.6,2.0,2.0,1200,0.043416666666666666,0.03358333333333334,0.0535,9.999000099990002e-05,2.4943003914625058e-15,26.0,
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.6,3.0,0.25,1200,0.03854166666666667,0.029770312499999996,0.04779166666666666,9.999000099990002e-05,0.11535173611436576,38.666666666666664,
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.6,3.0,0.5,1200,0.034583333333333334,0.027957291666666672,0.04158333333333333,9.999000099990002e-05,1.303919562998586e-16,29.666666666666668,9.999000099990002e-05
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.6,3.0,1.0,1200,0.13275,0.11874791666666666,0.14666666666666667,9.999000099990002e-05,9.449246079767197e-60,21.166666666666668,
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.6,3.0,2.0,1200,0.12308333333333332,0.10533333333333333,0.14108333333333334,9.999000099990002e-05,2.309729666904775e-32,29.916666666666668,
