dataset,fold,seed,method,cost_ratio,C_rev,B,n_test,n_truth,n_lie,n_reject,n_accept,n_singleton,n_empty,n_ambiguous,n_fp,n_fn,n_tp,n_tn,fp_rate,fn_rate,reject_rate,decision_coverage,acceptance_rate,label_coverage,label_coverage_truth,label_coverage_lie,total_cost,expected_cost
Open-Domain,0,7,s2_oracle_scalar_alpha,2.0,1.0,0.7,1360,663,697,28,1332,1332,28,0,275,269,415,373,0.41478129713423834,0.38593974175035867,0.020588235294117647,0.9794117647058823,0.9794117647058823,0.5794117647058824,0.5625942684766214,0.5954088952654233,841.0,0.6183823529411765
Open-Domain,0,7,cs_budget_selected,2.0,1.0,0.8,1360,663,697,142,1218,1218,0,142,326,158,469,265,0.4917043740573152,0.2266857962697274,0.10441176470588236,0.8955882352941177,0.8955882352941177,0.6441176470588236,0.5082956259426847,0.7733142037302726,784.0,0.5764705882352941
Open-Domain,0,7,s2_oracle_scalar_alpha,2.0,1.0,0.8,1360,663,697,28,1332,1332,28,0,275,269,415,373,0.41478129713423834,0.38593974175035867,0.020588235294117647,0.9794117647058823,0.9794117647058823,0.5794117647058824,0.5625942684766214,0.5954088952654233,841.0,0.6183823529411765
Open-Domain,0,7,cs_mondrian,2.0,2.0,,1360,663,697,1063,297,297,0,1063,68,24,145,60,0.10256410256410256,0.03443328550932568,0.7816176470588235,0.21838235294117647,0.21838235294117647,0.9323529411764706,0.8974358974358975,0.9655667144906743,2242.0,1.6485294117647058
Open-Domain,0,7,s1_reverse,2.0,2.0,,1360,663,697,1112,248,248,0,1112,30,41,73,104,0.04524886877828054,0.058823529411764705,0.8176470588235294,0.18235294117647058,0.18235294117647058,0.9477941176470588,0.9547511312217195,0.9411764705882353,2336.0,1.7176470588235293
Open-Domain,0,7,cs_budget_selected,2.0,2.0,0.6,1360,663,697,142,1218,1218,0,142,326,158,469,265,0.4917043740573152,0.2266857962697274,0.10441176470588236,0.8955882352941177,0.8955882352941177,0.6441176470588236,0.5082956259426847,0.7733142037302726,926.0,0.6808823529411765
Open-Domain,0,7,s2_oracle_scalar_alpha,2.0,2.0,0.6,1360,663,697,7,1353,1353,0,7,282,273,423,375,0.4253393665158371,0.3916786226685796,0.005147058823529412,0.9948529411764706,0.9948529411764706,0.5919117647058824,0.5746606334841629,0.6083213773314203,842.0,0.6191176470588236
Open-Domain,0,7,cs_budget_selected,2.0,2.0,0.7,1360,663,697,142,1218,1218,0,142,326,158,469,265,0.4917043740573152,0.2266857962697274,0.10441176470588236,0.8955882352941177,0.8955882352941177,0.6441176470588236,0.5082956259426847,0.7733142037302726,926.0,0.6808823529411765
Open-Domain,0,7,s2_oracle_scalar_alpha,2.0,2.0,0.7,1360,663,697,7,1353,1353,0,7,282,273,423,375,0.4253393665158371,0.3916786226685796,0.005147058823529412,0.9948529411764706,0.9948529411764706,0.5919117647058824,0.5746606334841629,0.6083213773314203,842.0,0.6191176470588236
Open-Domain,0,7,cs_budget_selected,2.0,2.0,0.8,1360,663,697,142,1218,1218,0,142,326,158,469,265,0.4917043740573152,0.2266857962697274,0.10441176470588236,0.8955882352941177,0.8955882352941177,0.6441176470588236,0.5082956259426847,0.7733142037302726,926.0,0.6808823529411765
Open-Domain,0,7,s2_oracle_scalar_alpha,2.0,2.0,0.8,1360,663,697,7,1353,1353,0,7,282,273,423,375,0.4253393665158371,0.3916786226685796,0.005147058823529412,0.9948529411764706,0.9948529411764706,0.5919117647058824,0.5746606334841629,0.6083213773314203,842.0,0.6191176470588236
Open-Domain,0,7,cs_mondrian,3.0,0.25,,1360,663,697,1075,285,285,0,1075,68,19,145,53,0.10256410256410256,0.027259684361549498,0.7904411764705882,0.20955882352941177,0.20955882352941177,0.9360294117647059,0.8974358974358975,0.9727403156384505,393.75,0.28952205882352944
Open-Domain,0,7,s1_reverse,3.0,0.25,,1360,663,697,1151,209,209,0,1151,16,41,48,104,0.024132730015082957,0.058823529411764705,0.8463235294117647,0.1536764705882353,0.1536764705882353,0.9580882352941177,0.975867269984917,0.9411764705882353,426.75,0.31378676470588235
Open-Domain,0,7,cs_budget_selected,3.0,0.25,0.6,1360,663,697,745,615,615,0,745,179,40,292,104,0.26998491704374056,0.05738880918220947,0.5477941176470589,0.4522058823529412,0.4522058823529412,0.8389705882352941,0.7300150829562594,0.9426111908177905,485.25,0.3568014705882353
Open-Domain,0,7,s2_oracle_scalar_alpha,3.0,0.25,0.6,1360,663,697,796,564,564,0,796,100,87,196,181,0.15082956259426847,0.12482065997130559,0.5852941176470589,0.4147058823529412,0.4147058823529412,0.8625,0.8491704374057315,0.8751793400286944,560.0,0.4117647058823529
Open-Domain,0,7,cs_budget_selected,3.0,0.25,0.7,1360,663,697,924,436,436,0,924,111,31,217,77,0.167420814479638,0.04447632711621234,0.6794117647058824,0.3205882352941177,0.3205882352941177,0.8955882352941177,0.832579185520362,0.9555236728837877,435.0,0.31985294117647056
