dataset,config,method,B,cost_ratio,C_rev,n_subjects,mean_delta,median_delta,ci_2.5,ci_97.5,permutation_p,wilcoxon_p,sign_p,n_positive,n_negative,n_zero,cs_wins_pct,holm_p
SEUMLD,OADNet_text,s2_oracle_scalar_alpha,0.6,1.0,1.0,76,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,76,0.0,
SEUMLD,OADNet_text,s2_oracle_scalar_alpha,0.6,1.0,2.0,76,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,76,0.0,
SEUMLD,OADNet_text,s2_oracle_scalar_alpha,0.6,2.0,0.25,76,-0.017970342921254687,-0.01014492753623188,-0.031552722650502664,-0.0053921342632554815,0.008,0.01823139944956864,0.42219110499231566,34,42,0,55.26315789473685,
SEUMLD,OADNet_text,s2_oracle_scalar_alpha,0.6,2.0,0.5,76,-0.004718251882188357,0.0022222222222222144,-0.02251957995898646,0.013002284937398793,0.6122,0.5828813932805593,1.0,38,37,1,48.68421052631579,
SEUMLD,OADNet_text,s2_oracle_scalar_alpha,0.6,2.0,1.0,76,-0.03867925397533948,-0.027525252525252526,-0.06327308803431174,-0.014235140057235423,0.0039,0.006132276603222453,0.06394991646706692,29,46,1,60.526315789473685,
SEUMLD,OADNet_text,s2_oracle_scalar_alpha,0.6,2.0,2.0,76,-0.1530636828624947,-0.12840501792114695,-0.18206238960205245,-0.1244869247633708,0.0,1.2640485956916064e-12,5.632907524806409e-13,8,68,0,89.47368421052632,
SEUMLD,OADNet_text,s2_oracle_scalar_alpha,0.6,3.0,0.25,76,-0.0040993504378766706,-0.0013389711064129674,-0.022056643103209213,0.013382003420676138,0.6605,0.8037375696312485,0.9087769252754927,37,39,0,51.31578947368421,
SEUMLD,OADNet_text,s2_oracle_scalar_alpha,0.6,3.0,0.5,76,0.012941755642126442,0.01869565217391303,-0.008646156658520705,0.03438083457905972,0.2473,0.22969464466714185,0.3018724904870079,43,33,0,43.42105263157895,0.2473
SEUMLD,OADNet_text,s2_oracle_scalar_alpha,0.6,3.0,1.0,76,0.015639141008716,0.02517482517482511,-0.02991230184597998,0.061327574834866394,0.5178,0.6561309471370123,0.7310088822226056,40,36,0,47.368421052631575,
SEUMLD,OADNet_text,s2_oracle_scalar_alpha,0.6,3.0,2.0,76,-0.18857426522760307,-0.16111111111111112,-0.24080034019068405,-0.13873038881854818,0.0,1.1779151569137586e-08,9.842847414734726e-08,15,61,0,80.26315789473685,
SEUMLD,OADNet_text,s2_oracle_scalar_alpha,0.6,5.0,0.25,76,0.028606749980969425,0.015891472868217044,-0.0016725910690490535,0.059002301356857224,0.0738,0.15376357592162287,0.20673684180839247,44,32,0,42.10526315789473,
SEUMLD,OADNet_text,s2_oracle_scalar_alpha,0.6,5.0,0.5,76,0.051550397067086695,0.02963768115942031,0.01882995925924976,0.0846014186955478,0.0034,0.015949823263757792,0.08464609267083598,46,30,0,39.473684210526315,
SEUMLD,OADNet_text,s2_oracle_scalar_alpha,0.6,5.0,1.0,76,0.11318220769015729,0.1026315789473684,0.04546598328806402,0.18306803083058504,0.0018,0.004700922061951259,0.028626655508737896,48,28,0,36.84210526315789,
SEUMLD,OADNet_text,s2_oracle_scalar_alpha,0.6,5.0,2.0,76,-0.08724861168149747,-0.05048309178743956,-0.18832715728170343,0.015006148059615785,0.0963,0.130309593465742,0.48868297090314317,34,41,1,53.94736842105263,
SEUMLD,OADNet_text,s2_oracle_scalar_alpha,0.6,10.0,0.25,76,0.15172938011344952,0.1141304347826087,0.08111109583193385,0.224181873949671,0.0,0.000871413570528921,0.08464609267083598,46,30,0,39.473684210526315,
SEUMLD,OADNet_text,s2_oracle_scalar_alpha,0.6,10.0,0.5,76,0.18118741462646587,0.13804347826086955,0.11157132657179027,0.2545553137422225,0.0,0.00011113462181620779,0.028626655508737896,48,28,0,36.84210526315789,
SEUMLD,OADNet_text,s2_oracle_scalar_alpha,0.6,10.0,1.0,76,0.3123757385921001,0.2607608695652174,0.21599537377950795,0.4090130739034694,0.0,6.686368454989684e-07,0.0007645817391550476,53,23,0,30.263157894736842,
SEUMLD,OADNet_text,s2_oracle_scalar_alpha,0.6,10.0,2.0,76,0.36520932299561676,0.29480676328502414,0.19483941297644417,0.54142964674628,0.0002,0.00025183330382877244,0.001761872002940625,52,24,0,31.57894736842105,
SEUMLD,OADNet_audio,s2_oracle_scalar_alpha,0.6,1.0,0.25,76,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,76,0.0,
SEUMLD,OADNet_audio,s2_oracle_scalar_alpha,0.6,1.0,0.5,76,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,76,0.0,
SEUMLD,OADNet_audio,s2_oracle_scalar_alpha,0.6,1.0,1.0,76,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,76,0.0,
SEUMLD,OADNet_audio,s2_oracle_scalar_alpha,0.6,1.0,2.0,76,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,76,0.0,
SEUMLD,OADNet_audio,s2_oracle_scalar_alpha,0.6,2.0,0.25,76,-0.011836715996878943,-0.009307359307359302,-0.02672598737337262,0.0033906588387844125,0.1272,0.12927505003730988,0.42219110499231566,34,42,0,55.26315789473685,
SEUMLD,OADNet_audio,s2_oracle_scalar_alpha,0.6,2.0,0.5,76,0.000326477938073253,-0.008883058470764621,-0.019282674526810765,0.02090568322911682,0.9731,0.5378225211510748,0.20673684180839247,32,44,0,57.89473684210527,
SEUMLD,OADNet_audio,s2_oracle_scalar_alpha,0.6,2.0,1.0,76,-0.05521972153618076,-0.06043478260869563,-0.08911140825882417,-0.02084845288856423,0.003,0.002935630239455779,0.007905180027859783,26,50,0,65.78947368421053,
SEUMLD,OADNet_audio,s2_oracle_scalar_alpha,0.6,2.0,2.0,76,-0.2242909585982011,-0.18357487922705318,-0.2652028384197724,-0.18483621456781738,0.0,2.3720517700614553e-13,7.747704489416678e-20,2,74,0,97.36842105263158,
SEUMLD,OADNet_audio,s2_oracle_scalar_alpha,0.6,3.0,0.25,76,0.004180931559249231,4.5787545787540095e-05,-0.022342886543872904,0.03169683961913891,0.7644,0.8990626315595138,1.0,38,38,0,50.0,
