dataset,config,fold,seed,method,cost_ratio,C_rev,B,alpha_truth,alpha_lie,total_nominal_budget,q_truth,q_lie,n_test,n_truth,n_lie,n_reject,n_accept,n_singleton,n_empty,n_ambiguous,n_fp,n_fn,n_tp,n_tn,fp_rate,fn_rate,reject_rate,decision_coverage,acceptance_rate,label_coverage,label_coverage_truth,label_coverage_lie,total_cost,expected_cost
SEUMLD,OADNet_text,0,7,cs_budget_selected,2.0,0.25,0.7,0.115,0.0575,0.09598425196850395,0.541034460067749,0.9674030058085918,653,431,222,497,156,156,0,497,46,7,48,55,0.10672853828306264,0.03153153153153153,0.7611026033690659,0.23889739663093415,0.23889739663093415,0.9188361408882083,0.8932714617169374,0.9684684684684685,184.25,0.2821592649310873
SEUMLD,OADNet_text,0,7,s2_oracle_scalar_alpha,2.0,0.25,0.7,0.1,0.1,0.1,0.5787913203239441,0.9311169683933258,653,431,222,432,221,221,0,432,39,31,41,110,0.09048723897911833,0.13963963963963963,0.6615620214395099,0.33843797856049007,0.33843797856049007,0.892802450229709,0.9095127610208816,0.8603603603603603,209.0,0.32006125574272587
SEUMLD,OADNet_text,0,7,cs_budget_selected,2.0,0.25,0.8,0.07,0.035,0.05842519685039371,0.6858256459236145,0.9730906989425421,653,431,222,554,99,99,0,554,26,5,32,36,0.060324825986078884,0.02252252252252252,0.8483920367534457,0.15160796324655437,0.15160796324655437,0.9525267993874426,0.9396751740139211,0.9774774774774775,174.5,0.2672281776416539
SEUMLD,OADNet_text,0,7,s2_oracle_scalar_alpha,2.0,0.25,0.8,0.055,0.055,0.055,0.7920482158660889,0.9681198671460152,653,431,222,555,98,98,0,555,20,7,25,46,0.04640371229698376,0.03153153153153153,0.8499234303215927,0.15007656967840735,0.15007656967840735,0.9586523736600306,0.9535962877030162,0.9684684684684685,172.75,0.26454823889739665
SEUMLD,OADNet_text,0,7,cs_mondrian,2.0,0.5,,0.1,0.05,0.08346456692913387,0.5787913203239441,0.9695759806782007,653,431,222,521,132,132,0,521,39,7,41,45,0.09048723897911833,0.03153153153153153,0.7978560490045942,0.20214395099540583,0.20214395099540583,0.9295558958652373,0.9095127610208816,0.9684684684684685,313.5,0.48009188361408883
SEUMLD,OADNet_text,0,7,s1_reverse,2.0,0.5,,0.05,0.1,0.06653543307086615,0.8786944150924683,0.9311169683933258,653,431,222,473,180,180,0,473,17,31,22,110,0.03944315545243619,0.13963963963963963,0.7243491577335375,0.27565084226646247,0.27565084226646247,0.9264931087289433,0.9605568445475638,0.8603603603603603,315.5,0.4831546707503829
SEUMLD,OADNet_text,0,7,s3_empirical_equal_risk,2.0,0.5,,0.095,0.06011904761904765,0.08346456692913387,0.5995230674743652,0.9674030058085918,653,431,222,515,138,138,0,515,35,7,41,55,0.08120649651972157,0.03153153153153153,0.7886676875957122,0.2113323124042879,0.2113323124042879,0.9356814701378254,0.9187935034802784,0.9684684684684685,306.5,0.46937212863705974
SEUMLD,OADNet_text,0,7,s4_prevalence_inverse,2.0,0.5,,0.0623529411764706,0.12619047619047621,0.08346456692913387,0.7273379564285278,0.9085988104343414,653,431,222,442,211,211,0,442,21,39,27,124,0.048723897911832945,0.17567567567567569,0.6768759571209801,0.3231240428790199,0.3231240428790199,0.9081163859111792,0.951276102088167,0.8243243243243243,320.0,0.4900459418070444
SEUMLD,OADNet_text,0,7,s5_exact_budget_match,2.0,0.5,,0.08346456692913387,0.08346456692913387,0.08346456692913387,0.6670328378677368,0.9494051225483418,653,431,222,494,159,159,0,494,26,19,36,78,0.060324825986078884,0.08558558558558559,0.7565084226646248,0.2434915773353752,0.2434915773353752,0.9310872894333844,0.9396751740139211,0.9144144144144144,311.0,0.4762633996937213
SEUMLD,OADNet_text,0,7,cs_budget_selected,2.0,0.5,0.6,0.37,0.185,0.3088188976377953,0.3844022750854492,0.8646335005760193,653,431,222,317,336,336,0,317,71,52,66,147,0.16473317865429235,0.23423423423423423,0.48545176110260335,0.5145482388973966,0.5145482388973966,0.8116385911179173,0.8352668213457076,0.7657657657657657,333.5,0.5107197549770292
SEUMLD,OADNet_text,0,7,s2_oracle_scalar_alpha,2.0,0.5,0.6,0.33,0.33,0.33,0.3844022750854492,0.7073689997196198,653,431,222,201,452,452,0,201,71,82,66,233,0.16473317865429235,0.36936936936936937,0.30781010719754975,0.6921898928024502,0.6921898928024502,0.7656967840735069,0.8352668213457076,0.6306306306306306,335.5,0.5137825421133231
SEUMLD,OADNet_text,0,7,cs_budget_selected,2.0,0.5,0.7,0.37,0.185,0.3088188976377953,0.3844022750854492,0.8646335005760193,653,431,222,317,336,336,0,317,71,52,66,147,0.16473317865429235,0.23423423423423423,0.48545176110260335,0.5145482388973966,0.5145482388973966,0.8116385911179173,0.8352668213457076,0.7657657657657657,333.5,0.5107197549770292
SEUMLD,OADNet_text,0,7,s2_oracle_scalar_alpha,2.0,0.5,0.7,0.33,0.33,0.33,0.3844022750854492,0.7073689997196198,653,431,222,201,452,452,0,201,71,82,66,233,0.16473317865429235,0.36936936936936937,0.30781010719754975,0.6921898928024502,0.6921898928024502,0.7656967840735069,0.8352668213457076,0.6306306306306306,335.5,0.5137825421133231
SEUMLD,OADNet_text,0,7,cs_budget_selected,2.0,0.5,0.8,0.37,0.185,0.3088188976377953,0.3844022750854492,0.8646335005760193,653,431,222,317,336,336,0,317,71,52,66,147,0.16473317865429235,0.23423423423423423,0.48545176110260335,0.5145482388973966,0.5145482388973966,0.8116385911179173,0.8352668213457076,0.7657657657657657,333.5,0.5107197549770292
SEUMLD,OADNet_text,0,7,s2_oracle_scalar_alpha,2.0,0.5,0.8,0.33,0.33,0.33,0.3844022750854492,0.7073689997196198,653,431,222,201,452,452,0,201,71,82,66,233,0.16473317865429235,0.36936936936936937,0.30781010719754975,0.6921898928024502,0.6921898928024502,0.7656967840735069,0.8352668213457076,0.6306306306306306,335.5,0.5137825421133231
SEUMLD,OADNet_text,0,7,cs_mondrian,2.0,1.0,,0.1,0.05,0.08346456692913387,0.5787913203239441,0.9695759806782007,653,431,222,521,132,132,0,521,39,7,41,45,0.09048723897911833,0.03153153153153153,0.7978560490045942,0.20214395099540583,0.20214395099540583,0.9295558958652373,0.9095127610208816,0.9684684684684685,574.0,0.8790199081163859
SEUMLD,OADNet_text,0,7,s1_reverse,2.0,1.0,,0.05,0.1,0.06653543307086615,0.8786944150924683,0.9311169683933258,653,431,222,473,180,180,0,473,17,31,22,110,0.03944315545243619,0.13963963963963963,0.7243491577335375,0.27565084226646247,0.27565084226646247,0.9264931087289433,0.9605568445475638,0.8603603603603603,552.0,0.8453292496171516
SEUMLD,OADNet_text,0,7,s3_empirical_equal_risk,2.0,1.0,,0.095,0.06011904761904765,0.08346456692913387,0.5995230674743652,0.9674030058085918,653,431,222,515,138,138,0,515,35,7,41,55,0.08120649651972157,0.03153153153153153,0.7886676875957122,0.2113323124042879,0.2113323124042879,0.9356814701378254,0.9187935034802784,0.9684684684684685,564.0,0.8637059724349158
SEUMLD,OADNet_text,0,7,s4_prevalence_inverse,2.0,1.0,,0.0623529411764706,0.12619047619047621,0.08346456692913387,0.7273379564285278,0.9085988104343414,653,431,222,442,211,211,0,442,21,39,27,124,0.048723897911832945,0.17567567567567569,0.6768759571209801,0.3231240428790199,0.3231240428790199,0.9081163859111792,0.951276102088167,0.8243243243243243,541.0,0.8284839203675345
SEUMLD,OADNet_text,0,7,s5_exact_budget_match,2.0,1.0,,0.08346456692913387,0.08346456692913387,0.08346456692913387,0.6670328378677368,0.9494051225483418,653,431,222,494,159,159,0,494,26,19,36,78,0.060324825986078884,0.08558558558558559,0.7565084226646248,0.2434915773353752,0.2434915773353752,0.9310872894333844,0.9396751740139211,0.9144144144144144,558.0,0.8545176110260337
