C_rev,alpha_lie,alpha_total,alpha_truth,auto_rate,cost_decomp_residual,coverage,err_per_auto,expected_cost,fn_rate,fold,fp_rate,k_lie,k_truth,method,n_fn,n_fp,n_lie,n_lie_calib,n_reject,n_singleton,n_test,n_truth,n_truth_calib,qhat_lie,qhat_truth,r,reject_rate,seed
0.5,0.02,0.1,0.1,0.1736214605067064,0.0,0.9530551415797317,0.2703862660944206,0.4839791356184799,0.01167883211678832,0,0.0837138508371385,201,185,cs_mondrian,8,55,685,204,1109,233,1342,657,204,0.7534846233451181,0.6661067732684507,5.0,0.8263785394932935,2024
0.5,0.1,0.1,0.1,0.26527570789865873,0.0,0.9277198211624441,0.27247191011235955,0.5648286140089419,0.061313868613138686,0,0.0837138508371385,185,185,mondrian,42,55,685,204,986,356,1342,657,204,0.6627256878439909,0.6661067732684507,5.0,0.7347242921013413,2024
0.5,0.01,0.1,0.1,0.1661698956780924,0.0,0.9552906110283159,0.26905829596412556,0.4951564828614009,0.0072992700729927005,0,0.0837138508371385,203,185,cs_mondrian,5,55,685,204,1119,223,1342,657,204,0.7634274378612504,0.6661067732684507,10.0,0.8338301043219076,2024
0.5,0.1,0.1,0.1,0.26527570789865873,0.0,0.9277198211624441,0.27247191011235955,0.7213114754098361,0.061313868613138686,0,0.0837138508371385,185,185,mondrian,42,55,685,204,986,356,1342,657,204,0.6627256878439909,0.6661067732684507,10.0,0.7347242921013413,2024
0.5,0.03333333333333333,0.1,0.1,0.2540500736377025,0.0,0.9226804123711341,0.30434782608695654,0.501840942562592,0.050724637681159424,0,0.10479041916167664,199,185,cs_mondrian,35,70,690,204,1013,345,1358,668,204,0.7140929415784838,0.6556366004977044,3.0,0.7459499263622975,2026
0.5,0.1,0.1,0.1,0.33578792341678937,0.0,0.8954344624447718,0.31140350877192985,0.5427098674521355,0.10434782608695652,0,0.10479041916167664,185,185,mondrian,72,70,690,204,902,456,1358,668,204,0.6519313268805751,0.6556366004977044,3.0,0.6642120765832106,2026
0.5,0.1,0.1,0.1,0.33578792341678937,0.0,0.8954344624447718,0.31140350877192985,0.4366715758468336,0.10434782608695652,0,0.10479041916167664,185,185,cs_mondrian,72,70,690,204,902,456,1358,668,204,0.6519313268805751,0.6556366004977044,1.0,0.6642120765832106,2026
0.5,0.1,0.1,0.1,0.33578792341678937,0.0,0.8954344624447718,0.31140350877192985,0.4366715758468336,0.10434782608695652,0,0.10479041916167664,185,185,mondrian,72,70,690,204,902,456,1358,668,204,0.6519313268805751,0.6556366004977044,1.0,0.6642120765832106,2026
0.5,0.05,0.1,0.1,0.27835051546391754,0.0,0.9182621502209131,0.29365079365079366,0.4727540500736377,0.059420289855072465,0,0.10479041916167664,195,185,cs_mondrian,41,70,690,204,980,378,1358,668,204,0.692070911115777,0.6556366004977044,2.0,0.7216494845360825,2026
0.5,0.1,0.1,0.1,0.33578792341678937,0.0,0.8954344624447718,0.31140350877192985,0.4896907216494845,0.10434782608695652,0,0.10479041916167664,185,185,mondrian,72,70,690,204,902,456,1358,668,204,0.6519313268805751,0.6556366004977044,2.0,0.6642120765832106,2026
0.5,0.02,0.1,0.1,0.25257731958762886,0.0,0.9234167893961709,0.3032069970845481,0.5504418262150221,0.04927536231884058,0,0.10479041916167664,201,185,cs_mondrian,34,70,690,204,1015,343,1358,668,204,0.7182761776651748,0.6556366004977044,5.0,0.7474226804123711,2026
0.5,0.1,0.1,0.1,0.33578792341678937,0.0,0.8954344624447718,0.31140350877192985,0.6487481590574374,0.10434782608695652,0,0.10479041916167664,185,185,mondrian,72,70,690,204,902,456,1358,668,204,0.6519313268805751,0.6556366004977044,5.0,0.6642120765832106,2026
0.5,0.01,0.1,0.1,0.24374079528718703,0.0,0.9278350515463918,0.29607250755287007,0.635861561119293,0.04057971014492753,0,0.10479041916167664,203,185,cs_mondrian,28,70,690,204,1027,331,1358,668,204,0.7243648580040993,0.6556366004977044,10.0,0.7562592047128129,2026
0.5,0.1,0.1,0.1,0.33578792341678937,0.0,0.8954344624447718,0.31140350877192985,0.9138438880706922,0.10434782608695652,0,0.10479041916167664,185,185,mondrian,72,70,690,204,902,456,1358,668,204,0.6519313268805751,0.6556366004977044,10.0,0.6642120765832106,2026
0.5,0.03333333333333333,0.1,0.1,0.21273408239700375,0.0,0.9415730337078652,0.2746478873239437,0.4850187265917603,0.03235294117647059,1,0.08549618320610687,200,186,cs_mondrian,22,56,680,205,1051,284,1335,655,205,0.6967005337862449,0.6513332480167777,3.0,0.7872659176029962,7
0.5,0.1,0.1,0.1,0.2943820224719101,0.0,0.9056179775280899,0.32061068702290074,0.552059925093633,0.10294117647058823,1,0.08549618320610687,186,186,mondrian,70,56,680,205,942,393,1335,655,205,0.642084074328459,0.6513332480167777,3.0,0.7056179775280899,7
0.5,0.1,0.1,0.1,0.2943820224719101,0.0,0.9056179775280899,0.32061068702290074,0.44719101123595506,0.10294117647058823,1,0.08549618320610687,186,186,cs_mondrian,70,56,680,205,942,393,1335,655,205,0.642084074328459,0.6513332480167777,1.0,0.7056179775280899,7
0.5,0.1,0.1,0.1,0.2943820224719101,0.0,0.9056179775280899,0.32061068702290074,0.44719101123595506,0.10294117647058823,1,0.08549618320610687,186,186,mondrian,70,56,680,205,942,393,1335,655,205,0.642084074328459,0.6513332480167777,1.0,0.7056179775280899,7
0.5,0.05,0.1,0.1,0.24344569288389514,0.0,0.9310861423220974,0.28307692307692306,0.47415730337078654,0.052941176470588235,1,0.08549618320610687,196,186,cs_mondrian,36,56,680,205,1010,325,1335,655,205,0.6761472806600162,0.6513332480167777,2.0,0.7565543071161048,7
