B,cs_budget_violation_test,cs_sel_reject_rate,cs_selected_alpha,cs_test_cost,cs_test_reject_rate,delta_cost,delta_reject_test,fold,infeasible_methods,md_budget_violation_test,md_sel_reject_rate,md_selected_alpha,md_test_cost,md_test_reject_rate,note,seed
0.8,0,0.7675668558021498,0.075,0.4973564954682779,0.7590634441087614,-0.016616314199395743,0.048338368580060465,2,,0,0.7244547391606214,0.075,0.5139728096676737,0.7107250755287009,ok,123
0.6,1,0.5790111848935378,0.175,0.5011185682326622,0.6055182699478001,-0.059284116331096204,0.03504847129008204,2,,0,0.5538823921176862,0.15,0.5604026845637584,0.5704697986577181,ok,2024
0.7,0,0.6667714638302874,0.15,0.4917971662938106,0.6927665920954511,-0.04362416107382555,0.030574198359433202,2,,0,0.6453344041579335,0.1,0.5354213273676361,0.6621923937360179,ok,2024
0.8,0,0.7569221628045159,0.1,0.4750186428038777,0.7740492170022372,-0.061894108873974674,0.03281133482475762,2,,0,0.727548595195654,0.075,0.5369127516778524,0.7412378821774795,ok,2024
0.6,0,0.5675485734309264,0.2,0.5104633781763827,0.5844544095665172,-0.08856502242152464,0.0022421524663677195,2,,0,0.5787341199105905,0.15,0.5990284005979073,0.5822122571001495,ok,2026
0.7,1,0.6976179593826654,0.15,0.5011210762331838,0.7047832585949177,-0.048579970104633885,0.020926756352765308,2,,0,0.6769162210338681,0.1,0.5497010463378177,0.6838565022421524,ok,2026
0.8,0,0.7609117462058639,0.1,0.4943946188340807,0.7526158445440957,-0.04857997010463383,0.005979073243647215,2,,0,0.7337613367025131,0.075,0.5429745889387145,0.7466367713004485,ok,2026
0.6,0,0.5800969183322124,0.225,0.4798507462686567,0.5701492537313433,-0.07238805970149259,-0.04626865671641789,3,,1,0.5790685349508878,0.125,0.5522388059701493,0.6164179104477612,ok,7
0.7,1,0.6893874099756454,0.125,0.4716417910447761,0.7149253731343284,-0.06305970149253737,0.04701492537313434,3,,0,0.6318768377591908,0.1,0.5347014925373135,0.667910447761194,ok,7
0.8,0,0.7513809719692072,0.075,0.47574626865671643,0.7843283582089552,-0.014179104477611948,-0.035820895522388096,3,,1,0.7910477322242028,0.05,0.4899253731343284,0.8201492537313433,ok,7
0.6,1,0.5940927264456676,0.175,0.5391432791728212,0.6292466765140325,-0.04800590841949781,0.03101920236336786,3,,0,0.550635638870933,0.125,0.587149187592319,0.5982274741506647,ok,42
0.7,1,0.6795198265786502,0.125,0.53397341211226,0.7001477104874446,-0.02584933530280642,-0.028064992614475592,3,,1,0.6955272396448868,0.075,0.5598227474150664,0.7282127031019202,ok,42
0.8,0,0.7392509451332981,0.1,0.5055391432791728,0.759970457902511,-0.045051698670605655,-0.05169867060561306,3,,1,0.7980771951360188,0.05,0.5505908419497785,0.8116691285081241,ok,42
0.6,0,0.5395330160036043,0.25,0.5195635816403311,0.5124153498871332,-0.0338600451467268,-0.0842738901429646,3,,0,0.5928538781479958,0.125,0.5534236267870579,0.5966892400300978,ok,123
0.7,0,0.673618211853506,0.15,0.4887133182844244,0.6598946576373212,-0.06019563581640336,0.0240782543265613,3,,0,0.6322804646334058,0.1,0.5489089541008277,0.63581640331076,ok,123
0.8,0,0.7597709480062421,0.1,0.48081264108352145,0.7524454477050414,-0.02746425884123399,-0.04589917231000751,3,,0,0.7996643878996821,0.05,0.5082768999247554,0.7983446200150489,ok,123
0.6,1,0.5977067594714653,0.15,0.5395710059171598,0.6087278106508875,-0.08431952662721887,0.028106508875739622,3,,0,0.5845450845450846,0.125,0.6238905325443787,0.5806213017751479,ok,2024
0.7,0,0.6880418056888644,0.125,0.5262573964497042,0.6826923076923077,-0.07285502958579881,0.02440828402366868,3,,0,0.6576903488668194,0.1,0.599112426035503,0.658284023668639,ok,2024
0.8,0,0.751036001036001,0.1,0.5210798816568047,0.7418639053254438,-0.07137573964497035,0.02440828402366868,3,,0,0.7276873453344042,0.075,0.5924556213017751,0.7174556213017751,ok,2024
0.6,0,0.5787774317186081,0.225,0.5270473328324567,0.5837716003005259,-0.0912847483095417,0.0608564988730278,3,,0,0.5139288815759403,0.15,0.6183320811419984,0.5229151014274981,ok,2026
0.7,0,0.6792194733371204,0.15,0.5048835462058603,0.6972201352366642,-0.06912096168294513,0.02704733283245675,3,,0,0.6774973392620451,0.1,0.5740045078888054,0.6701728024042074,ok,2026
0.8,0,0.7417783741313151,0.125,0.512396694214876,0.7317806160781367,-0.03155522163786628,-0.013523666416228375,3,,0,0.744627376980318,0.075,0.5439519158527423,0.7453042824943651,ok,2026
0.6,0,0.5914695326460032,0.175,0.5281481481481481,0.5777777777777777,-0.10925925925925928,0.11037037037037034,4,,0,0.49082888788771145,0.15,0.6374074074074074,0.4674074074074074,ok,7
0.7,0,0.6461332784862197,0.15,0.5218518518518519,0.6274074074074074,-0.06296296296296289,0.00592592592592589,4,,0,0.6663505339975929,0.1,0.5848148148148148,0.6214814814814815,ok,7
0.8,0,0.7824093118210765,0.075,0.5177777777777778,0.7659259259259259,-0.012962962962962954,-0.009629629629629655,4,,0,0.7999571234865352,0.05,0.5307407407407407,0.7755555555555556,ok,7
0.6,0,0.574326000796589,0.225,0.5288173652694611,0.5696107784431138,-0.05164670658682635,0.014970059880239583,4,,0,0.5548291577703343,0.175,0.5804640718562875,0.5546407185628742,ok,42
0.7,0,0.6921216038863098,0.175,0.5160928143712575,0.6639221556886228,-0.0479041916167664,0.04940119760479045,4,,0,0.624516006868948,0.15,0.5639970059880239,0.6145209580838323,ok,42
0.8,0,0.7515376780082662,0.15,0.4936377245508982,0.7297904191616766,-0.058008982035928136,0.00823353293413176,4,,0,0.7736511854158914,0.1,0.5516467065868264,0.7215568862275449,ok,42
0.6,0,0.5734303822539116,0.25,0.5190868263473054,0.5531437125748503,-0.06437125748502992,0.020958083832335328,4,,0,0.5584850878968526,0.175,0.5834580838323353,0.532185628742515,ok,123
