C_rev_CS_vs_M_star,C_rev_all_reject_star,all_reject_cost,auto_rate,cost_per_sample,delta_fn,delta_fp,delta_reject,err_per_auto,fold,method,seed
,0.6910569105691057,0.5,0.3625644804716286,0.5692704495210023,,,,0.33739837398373984,2,mondrian,42
1.1206896551724137,,,,,-65,0,174,,2,CS_vs_Mondrian,42
,0.4888268156424581,0.5,0.270392749244713,0.49697885196374625,,,,0.3547486033519553,2,cs_mondrian,123
,0.5956989247311828,0.5,0.3512084592145015,0.5336102719033232,,,,0.34623655913978496,2,mondrian,123
0.9532710280373832,,,,,-34,0,107,,2,CS_vs_Mondrian,123
,0.38943894389438943,0.5,0.22595078299776286,0.4750186428038777,,,,0.31683168316831684,2,cs_mondrian,2024
,0.6048565121412803,0.5,0.3378076062639821,0.5354213273676361,,,,0.32671081677704195,2,mondrian,2024
1.04,,,,,-52,0,150,,2,CS_vs_Mondrian,2024
,0.4773413897280967,0.5,0.24738415545590434,0.4943946188340807,,,,0.338368580060423,2,cs_mondrian,2026
,0.6572104018912529,0.5,0.31614349775784756,0.5497010463378177,,,,0.35933806146572106,2,mondrian,2026
1.3043478260869565,,,,,-40,0,92,,2,CS_vs_Mondrian,2026
,0.39384615384615385,0.5,0.24253731343283583,0.4742537313432836,,,,0.30153846153846153,3,cs_mondrian,7
,0.604494382022472,0.5,0.332089552238806,0.5347014925373135,,,,0.3258426966292135,3,mondrian,7
1.175,,,,,-47,0,120,,3,CS_vs_Mondrian,7
,0.5230769230769231,0.5,0.24002954209748892,0.5055391432791728,,,,0.3261538461538461,3,cs_mondrian,42
,0.7019027484143763,0.5,0.34933530280649927,0.5705317577548006,,,,0.3382663847780127,3,mondrian,42
1.0945945945945945,,,,,-54,0,148,,3,CS_vs_Mondrian,42
,0.42249240121580545,0.5,0.24755455229495862,0.48081264108352145,,,,0.3009118541033435,3,cs_mondrian,123
,0.6342975206611571,0.5,0.36418359668924005,0.5489089541008277,,,,0.3202479338842975,3,mondrian,123
1.0838709677419356,,,,,-56,0,155,,3,CS_vs_Mondrian,123
,0.5816618911174785,0.5,0.2581360946745562,0.5210798816568047,,,,0.34097421203438394,3,cs_mondrian,2024
,0.79004329004329,0.5,0.34171597633136097,0.599112426035503,,,,0.37445887445887444,3,mondrian,2024
1.4336283185840708,,,,,-54,0,113,,3,CS_vs_Mondrian,2024
,0.4085603112840467,0.5,0.1930879038317055,0.4823441021788129,,,,0.33073929961089493,3,cs_mondrian,2026
,0.724373576309795,0.5,0.32982719759579265,0.5740045078888054,,,,0.3553530751708428,3,mondrian,2026
1.1703296703296704,,,,,-71,0,182,,3,CS_vs_Mondrian,2026
,0.5538057742782152,0.5,0.2822222222222222,0.5151851851851852,,,,0.3648293963254593,4,cs_mondrian,7
,0.7240704500978473,0.5,0.37851851851851853,0.5848148148148148,,,,0.37573385518590996,4,mondrian,7
1.2230769230769232,,,,,-53,0,130,,4,CS_vs_Mondrian,7
,0.4266666666666667,0.5,0.16841317365269462,0.4876497005988024,,,,0.3111111111111111,4,cs_mondrian,42
,0.6854838709677419,0.5,0.27844311377245506,0.5516467065868264,,,,0.33064516129032256,4,mondrian,42
1.0816326530612246,,,,,-53,0,147,,4,CS_vs_Mondrian,42
,0.490272373540856,0.5,0.19236526946107785,0.4981287425149701,,,,0.3424124513618677,4,cs_mondrian,123
,0.6331658291457286,0.5,0.29790419161676646,0.5396706586826348,,,,0.32663316582914576,4,mondrian,123
0.8936170212765957,,,,,-42,0,141,,4,CS_vs_Mondrian,123
,0.4344569288389513,0.5,0.1973392461197339,0.4870657797487066,,,,0.299625468164794,4,cs_mondrian,2024
,0.662004662004662,0.5,0.3170731707317073,0.5513673318551368,,,,0.317016317016317,4,mondrian,2024
1.037037037037037,,,,,-56,0,162,,4,CS_vs_Mondrian,2024
,0.542319749216301,0.5,0.2349042709867452,0.509941089837997,,,,0.322884012539185,4,cs_mondrian,2026
,0.6997792494481236,0.5,0.3335787923416789,0.5666421207658321,,,,0.3333333333333333,4,mondrian,2026
1.0746268656716418,,,,,-48,0,134,,4,CS_vs_Mondrian,2026
