dataset,config,cost_ratio,C_rev,eps_hum,n_subjects,mean_delta,median_delta,ci_2.5,ci_97.5,permutation_p,wilcoxon_p,sign_p,n_positive,n_negative,n_zero,cs_wins_pct,holm_p
SEUMLD,OADNet_text,2.0,0.5,0.05,76,0.008770680342507052,0.014999999999999986,-0.0005266328245338143,0.017930145424998573,0.0652,0.02880459491804784,0.005228243004014281,50,25,1,32.89473684210527,
SEUMLD,OADNet_text,2.0,1.0,0.05,76,0.04934807311016166,0.03849999999999999,0.038107412451761635,0.06072691697505558,0.0,1.608057187467392e-10,5.154208808246549e-11,65,10,1,13.157894736842104,
SEUMLD,OADNet_text,2.0,2.0,0.05,76,0.13050285864547087,0.11721571906354525,0.11148091441013787,0.1503355402278242,0.0,5.2803729173201584e-14,5.293955920339377e-23,75,0,1,0.0,
SEUMLD,OADNet_text,3.0,0.25,0.05,76,-0.03375458016449597,-0.009757330637007077,-0.05110421393389015,-0.0174012622857676,0.0001,0.008535986883963623,0.3018724904870079,33,43,0,56.57894736842105,
SEUMLD,OADNet_text,3.0,0.5,0.05,76,-0.006501111777880715,0.010237726098191256,-0.0239413638318961,0.010198754191809524,0.4595,0.938098282964529,0.42219110499231566,42,34,0,44.73684210526316,0.4595
SEUMLD,OADNet_text,3.0,1.0,0.05,76,0.04800582499534977,0.05617073170731707,0.029381561686049523,0.06666863226031246,0.0,1.8549540293316676e-05,0.0003129786008370502,54,22,0,28.947368421052634,
SEUMLD,OADNet_text,3.0,2.0,0.05,76,0.15701969854181072,0.14490849673202616,0.1304501714654807,0.18456954991687904,0.0,7.963614596212059e-14,1.938302550893458e-18,73,3,0,3.9473684210526314,
SEUMLD,OADNet_text,5.0,0.25,0.05,76,-0.08254626740858655,-0.04082608695652172,-0.1167498929328026,-0.050066919104954206,0.0,7.078505912346336e-05,0.08464609267083598,30,46,0,60.526315789473685,
SEUMLD,OADNet_text,5.0,0.5,0.05,76,-0.04889345922179033,-0.008526289180990888,-0.08336486427532641,-0.01624262114263938,0.0043,0.08469677430213296,0.9087769252754927,37,39,0,51.31578947368421,
SEUMLD,OADNet_text,5.0,1.0,0.05,76,0.018412157151802114,0.036231884057970926,-0.01767826867561852,0.05290621948454389,0.315,0.12927505003730988,0.028626655508737896,48,28,0,36.84210526315789,
SEUMLD,OADNet_text,5.0,2.0,0.05,76,0.15302338989898698,0.1493181818181818,0.10952508125314175,0.19747298347697465,0.0,3.1194076265734014e-08,1.4836899336372366e-05,57,19,0,25.0,
SEUMLD,OADNet_text,10.0,0.25,0.05,76,-0.21884426396579612,-0.1191304347826087,-0.2930089554549016,-0.14850033470072702,0.0,8.271940213755462e-07,0.028626655508737896,28,48,0,63.1578947368421,
SEUMLD,OADNet_text,10.0,0.5,0.05,76,-0.179578428606209,-0.07999999999999996,-0.25370008473328576,-0.11160587437633332,0.0,0.00011718077842830654,0.08464609267083598,30,46,0,60.526315789473685,
SEUMLD,OADNet_text,10.0,1.0,0.05,76,-0.10104675788703477,-0.014929221435793762,-0.17372733845174557,-0.032041150981114604,0.0087,0.09968124834491289,0.7310088822226056,36,40,0,52.63157894736842,
SEUMLD,OADNet_text,10.0,2.0,0.05,76,0.056016583551313726,0.0923976608187135,-0.024272847329302513,0.1326222696960112,0.1648,0.0749109300948345,0.01544026202090637,49,27,0,35.526315789473685,
SEUMLD,OADNet_audio,1.0,0.25,0.05,76,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,76,0.0,
SEUMLD,OADNet_audio,1.0,0.5,0.05,76,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,76,0.0,
SEUMLD,OADNet_audio,1.0,1.0,0.05,76,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,76,0.0,
SEUMLD,OADNet_audio,1.0,2.0,0.05,76,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,76,0.0,
SEUMLD,OADNet_audio,2.0,0.25,0.05,76,-0.008495576759688839,0.0,-0.015284087204856913,-0.002216407823728444,0.0122,0.08525864406995368,0.794843653982861,28,31,17,40.78947368421053,
SEUMLD,OADNet_audio,2.0,0.5,0.05,76,0.0014750273275986932,0.0,-0.005327330197529937,0.008236077109393886,0.6687,0.5065483078563406,0.43499280512215344,33,26,17,34.21052631578947,
SEUMLD,OADNet_audio,2.0,1.0,0.05,76,0.02141623550217375,0.014006916996047425,0.01264857595280845,0.030540392875532174,0.0,1.3761389355681974e-05,0.00020372185740785698,44,15,17,19.736842105263158,
SEUMLD,OADNet_audio,2.0,2.0,0.05,76,0.061298651851323896,0.034247491638796104,0.04577420303044816,0.07788397912300683,0.0,2.3900953516978203e-11,3.469446951953614e-18,59,0,17,0.0,
SEUMLD,OADNet_audio,3.0,0.25,0.05,76,-0.026585268013868617,0.0,-0.04130762701201907,-0.013198509131915668,0.0004,0.004700752677839332,0.5189580031896519,27,33,16,43.42105263157895,
SEUMLD,OADNet_audio,3.0,0.5,0.05,76,-0.012110137489190861,0.0,-0.02606352174054131,0.0009765302047597851,0.0827,0.4439103494290324,0.8974218269914307,31,29,16,38.15789473684211,0.1654
SEUMLD,OADNet_audio,3.0,1.0,0.05,76,0.016840123560164632,0.005543478260869583,0.0019063225301185498,0.03119450836439095,0.032,0.02000433540910699,0.0062176026593266705,41,19,16,25.0,
SEUMLD,OADNet_audio,3.0,2.0,0.05,76,0.0747406456588756,0.047954856361149045,0.05280496411280831,0.09799268204899918,0.0,1.6389050234083188e-08,3.183628737933597e-06,48,12,16,15.789473684210526,
SEUMLD,OADNet_audio,5.0,0.25,0.05,76,-0.07433041059117226,0.0,-0.1069349391940858,-0.04371487829807166,0.0,0.00012724000263149353,0.2450608330229457,25,35,16,46.05263157894737,
SEUMLD,OADNet_audio,5.0,0.5,0.05,76,-0.055193029303311214,0.0,-0.08611580314361651,-0.02649758946295509,0.0004,0.0106347687157284,0.2450608330229457,25,35,16,46.05263157894737,
SEUMLD,OADNet_audio,5.0,1.0,0.05,76,-0.01691826672758917,0.0,-0.04634542702730336,0.010376760051023474,0.2516,0.6964135938250273,0.36629400670329104,34,26,16,34.21052631578947,
SEUMLD,OADNet_audio,5.0,2.0,0.05,76,0.05963125842385489,0.021925120772946706,0.02648618001727196,0.09353010979845894,0.0008,0.001295293378822421,0.002670436282807066,42,18,16,23.684210526315788,
SEUMLD,OADNet_audio,10.0,0.25,0.05,76,-0.20475706854813258,0.0,-0.28641217142147907,-0.13175016825383967,0.0,1.4118131697117883e-05,0.20003136851310313,25,36,15,47.368421052631575,
SEUMLD,OADNet_audio,10.0,0.5,0.05,76,-0.18156265123440124,0.0,-0.25868907962754545,-0.11067014679170842,0.0,5.67467688369349e-05,0.20003136851310313,25,36,15,47.368421052631575,
SEUMLD,OADNet_audio,10.0,1.0,0.05,76,-0.1351738166069385,0.0,-0.20841274253667666,-0.06998186657532302,0.0,0.004018553372303663,0.20003136851310313,25,36,15,47.368421052631575,
SEUMLD,OADNet_audio,10.0,2.0,0.05,76,-0.04239614735201309,0.0,-0.10899225340550299,0.021316560711946413,0.2094,0.6075537352365319,0.6089207154048286,33,28,15,36.84210526315789,
MDPE,OADNet_text,1.0,0.25,0.05,191,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,191,0.0,
MDPE,OADNet_text,1.0,0.5,0.05,191,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,191,0.0,
MDPE,OADNet_text,1.0,1.0,0.05,191,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,191,0.0,
MDPE,OADNet_text,1.0,2.0,0.05,191,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,191,0.0,
MDPE,OADNet_text,2.0,0.25,0.05,191,-0.015160482585932165,-0.008750000000000003,-0.018769071534259045,-0.011600202025950376,0.0,3.6283135440147983e-11,1.6031364068009595e-05,65,125,1,65.44502617801047,
MDPE,OADNet_text,2.0,0.5,0.05,191,0.0009351999392973679,0.004166666666666696,-0.002384608088625844,0.004326122524470749,0.583,0.32730088764028764,0.21735618793934322,104,86,1,45.0261780104712,
MDPE,OADNet_text,2.0,1.0,0.05,191,0.033126564989756434,0.028749999999999987,0.029273403710448443,0.037146198497609834,0.0,6.400700945581208e-29,7.905290080352722e-31,170,20,1,10.471204188481675,
