dataset,config,cost_ratio,C_rev,eps_hum,n_units,unit_type,mean_delta,median_delta,ci_2.5,ci_97.5,permutation_p,wilcoxon_p,n_positive,n_negative,n_zero,cs_wins_pct,holm_p
Cross-Cultural,TFIDF_LR,5.0,2.0,0.1,1200,paired_unit,0.15492499999999998,0.0,0.13520812499999996,0.17414166666666664,9.999000099990002e-05,3.085971499310947e-45,587,194,419,16.166666666666664,
Cross-Cultural,TFIDF_LR,10.0,0.25,0.1,1200,paired_unit,-0.3513124999999999,0.0,-0.4033465625,-0.3016402083333333,9.999000099990002e-05,0.0016472845828856754,530,273,397,22.75,
Cross-Cultural,TFIDF_LR,10.0,0.5,0.1,1200,paired_unit,-0.3016249999999999,0.0,-0.351416875,-0.2542995833333333,9.999000099990002e-05,0.0016478787901048713,530,273,397,22.75,
Cross-Cultural,TFIDF_LR,10.0,1.0,0.1,1200,paired_unit,-0.20225,0.0,-0.2489172916666667,-0.156758125,9.999000099990002e-05,0.014681134578629193,530,273,397,22.75,
Cross-Cultural,TFIDF_LR,10.0,2.0,0.1,1200,paired_unit,-0.0035000000000000543,0.0,-0.04695979166666673,0.03780145833333327,0.8717128287171283,0.00017125222846983872,555,248,397,20.666666666666668,
Cross-Cultural,TFIDF_LR,1.0,0.25,0.2,1200,paired_unit,0.0,0.0,0.0,0.0,1.0,1.0,0,0,1200,0.0,
Cross-Cultural,TFIDF_LR,1.0,0.5,0.2,1200,paired_unit,0.0,0.0,0.0,0.0,1.0,1.0,0,0,1200,0.0,
Cross-Cultural,TFIDF_LR,1.0,1.0,0.2,1200,paired_unit,0.0,0.0,0.0,0.0,1.0,1.0,0,0,1200,0.0,
Cross-Cultural,TFIDF_LR,1.0,2.0,0.2,1200,paired_unit,0.0,0.0,0.0,0.0,1.0,1.0,0,0,1200,0.0,
Cross-Cultural,TFIDF_LR,2.0,0.25,0.2,1200,paired_unit,-0.006262499999999996,0.0,-0.011512499999999997,-0.0013124999999999962,0.018698130186981302,0.6571583817799771,423,207,570,17.25,
Cross-Cultural,TFIDF_LR,2.0,0.5,0.2,1200,paired_unit,0.016175,0.0,0.011099999999999997,0.021158541666666662,9.999000099990002e-05,7.099658050310967e-12,451,185,564,15.416666666666668,
Cross-Cultural,TFIDF_LR,2.0,1.0,0.2,1200,paired_unit,0.06104999999999998,0.0,0.055149999999999984,0.06704999999999998,9.999000099990002e-05,1.3974285009766316e-69,505,125,570,10.416666666666668,
Cross-Cultural,TFIDF_LR,2.0,2.0,0.2,1200,paired_unit,0.1508,0.040000000000000036,0.13986624999999994,0.16164999999999996,9.999000099990002e-05,4.771689085597818e-106,636,0,564,0.0,
Cross-Cultural,TFIDF_LR,3.0,0.25,0.2,1200,paired_unit,-0.0315875,0.0,-0.041550104166666664,-0.022170520833333335,9.999000099990002e-05,0.1698903202397829,481,246,473,20.5,
Cross-Cultural,TFIDF_LR,3.0,0.5,0.2,1200,paired_unit,-2.499999999999984e-05,0.0,-0.009475208333333332,0.009050208333333332,0.9966003399660034,0.0005596670877805549,501,226,473,18.833333333333332,0.9966003399660034
Cross-Cultural,TFIDF_LR,3.0,1.0,0.2,1200,paired_unit,0.06309999999999998,0.0,0.05368333333333331,0.07238374999999998,9.999000099990002e-05,1.4183199282398255e-29,534,193,473,16.083333333333332,
Cross-Cultural,TFIDF_LR,3.0,2.0,0.2,1200,paired_unit,0.18935000000000007,0.14000000000000012,0.17569875000000007,0.20313375000000003,9.999000099990002e-05,1.0839211585264572e-109,619,108,473,9.0,
Cross-Cultural,TFIDF_LR,5.0,0.25,0.2,1200,paired_unit,-0.09858750000000001,0.0,-0.11835031249999999,-0.079425,9.999000099990002e-05,0.001894372820361138,515,266,419,22.166666666666668,
Cross-Cultural,TFIDF_LR,5.0,0.5,0.2,1200,paired_unit,-0.05769166666666665,0.0,-0.0763583333333333,-0.03937499999999998,9.999000099990002e-05,0.6307144997412171,515,264,421,22.0,
Cross-Cultural,TFIDF_LR,5.0,1.0,0.2,1200,paired_unit,0.024100000000000014,0.0,0.0066987500000000155,0.041251249999999996,0.006799320067993201,1.5311649214483928e-08,555,225,420,18.75,
Cross-Cultural,TFIDF_LR,5.0,2.0,0.2,1200,paired_unit,0.18768333333333337,0.04000000000000048,0.16934875,0.20670000000000002,9.999000099990002e-05,1.6726594618675032e-75,646,135,419,11.25,
Cross-Cultural,TFIDF_LR,10.0,0.25,0.2,1200,paired_unit,-0.2898125,0.0,-0.33597114583333326,-0.24568697916666662,9.999000099990002e-05,0.0016464695419597575,530,273,397,22.75,
Cross-Cultural,TFIDF_LR,10.0,0.5,0.2,1200,paired_unit,-0.24012499999999992,0.0,-0.28541708333333327,-0.19755812499999995,9.999000099990002e-05,0.0016470441168516651,530,273,397,22.75,
Cross-Cultural,TFIDF_LR,10.0,1.0,0.2,1200,paired_unit,-0.14075,0.0,-0.18199999999999997,-0.10124958333333331,9.999000099990002e-05,0.5821383568649281,530,273,397,22.75,
Cross-Cultural,TFIDF_LR,10.0,2.0,0.2,1200,paired_unit,0.05800000000000003,0.0,0.019632916666666684,0.09633375000000001,0.0030996900309969004,3.199908986913269e-10,573,230,397,19.166666666666668,
