dataset,config,cost_ratio,C_rev,eps_hum,n_units,unit_type,mean_delta,median_delta,ci_2.5,ci_97.5,permutation_p,wilcoxon_p,n_positive,n_negative,n_zero,cs_wins_pct,holm_p
Open-Domain,TFIDF_LR,5.0,2.0,0.2,511,subject,0.08243116396541053,0.08000000000000007,0.07264717131096779,0.09224895183094789,9.999000099990002e-05,2.4037968982652985e-42,390,116,5,22.700587084148726,
Open-Domain,TFIDF_LR,10.0,0.25,0.2,511,subject,-0.3363159294499804,-0.2678571428571429,-0.3640191179770437,-0.30906362900526313,9.999000099990002e-05,3.0538809321192148e-77,68,438,5,85.71428571428571,
Open-Domain,TFIDF_LR,10.0,0.5,0.2,511,subject,-0.3026606159658998,-0.22666666666666702,-0.32918273987916863,-0.2768468059012092,9.999000099990002e-05,3.145802642402684e-71,75,431,5,84.34442270058709,
Open-Domain,TFIDF_LR,10.0,1.0,0.2,511,subject,-0.2353499889977387,-0.17777777777777803,-0.2600999142844546,-0.2112270223688034,9.999000099990002e-05,1.2291941797630602e-54,110,396,5,77.49510763209393,
Open-Domain,TFIDF_LR,10.0,2.0,0.2,511,subject,-0.10072873506141625,-0.06461538461538519,-0.12290132749398912,-0.07917754111511464,9.999000099990002e-05,3.4264338257905166e-14,198,308,5,60.273972602739725,
Cross-Cultural,TFIDF_LR,1.0,0.25,0.0,1200,paired_unit,0.0,0.0,0.0,0.0,1.0,1.0,0,0,1200,0.0,
Cross-Cultural,TFIDF_LR,1.0,0.5,0.0,1200,paired_unit,0.0,0.0,0.0,0.0,1.0,1.0,0,0,1200,0.0,
Cross-Cultural,TFIDF_LR,1.0,1.0,0.0,1200,paired_unit,0.0,0.0,0.0,0.0,1.0,1.0,0,0,1200,0.0,
Cross-Cultural,TFIDF_LR,1.0,2.0,0.0,1200,paired_unit,0.0,0.0,0.0,0.0,1.0,1.0,0,0,1200,0.0,
Cross-Cultural,TFIDF_LR,2.0,0.25,0.0,1200,paired_unit,-0.029395833333333333,0.0,-0.03587552083333333,-0.023145312500000004,9.999000099990002e-05,0.004115776332403714,419,217,564,18.083333333333336,
Cross-Cultural,TFIDF_LR,2.0,0.5,0.0,1200,paired_unit,-0.006958333333333335,0.0,-0.012709374999999998,-0.001291666666666667,0.017598240175982403,0.6821230767450034,420,205,575,17.083333333333332,
Cross-Cultural,TFIDF_LR,2.0,1.0,0.0,1200,paired_unit,0.03791666666666667,0.0,0.032,0.04375,9.999000099990002e-05,4.468113732144164e-31,455,134,611,11.166666666666666,
Cross-Cultural,TFIDF_LR,2.0,2.0,0.0,1200,paired_unit,0.12766666666666668,0.0,0.11816666666666667,0.1375,9.999000099990002e-05,8.566946272116628e-90,523,0,677,0.0,
Cross-Cultural,TFIDF_LR,3.0,0.25,0.0,1200,paired_unit,-0.0704375,0.0,-0.08285416666666666,-0.058270833333333334,9.999000099990002e-05,0.0028506322144754917,480,247,473,20.583333333333336,
Cross-Cultural,TFIDF_LR,3.0,0.5,0.0,1200,paired_unit,-0.038875,0.0,-0.05033333333333333,-0.027583333333333335,9.999000099990002e-05,0.052515805679450474,480,246,474,20.5,9.999000099990002e-05
Cross-Cultural,TFIDF_LR,3.0,1.0,0.0,1200,paired_unit,0.024249999999999994,0.0,0.013666666666666666,0.03491666666666666,0.00029997000299970003,6.23789163679795e-09,501,204,495,17.0,
Cross-Cultural,TFIDF_LR,3.0,2.0,0.0,1200,paired_unit,0.1505,0.0,0.13758333333333334,0.16333333333333333,9.999000099990002e-05,1.0191893105950468e-83,589,119,492,9.916666666666666,
Cross-Cultural,TFIDF_LR,5.0,0.25,0.0,1200,paired_unit,-0.1641041666666667,0.0,-0.18927083333333333,-0.14039479166666669,9.999000099990002e-05,0.0016578769722894434,515,266,419,22.166666666666668,
Cross-Cultural,TFIDF_LR,5.0,0.5,0.0,1200,paired_unit,-0.12320833333333332,0.0,-0.14695937500000003,-0.10025,9.999000099990002e-05,0.0018066974263033447,515,266,419,22.166666666666668,
Cross-Cultural,TFIDF_LR,5.0,1.0,0.0,1200,paired_unit,-0.04141666666666667,0.0,-0.063,-0.020250000000000004,0.00029997000299970003,0.4257008543271812,517,253,430,21.083333333333336,
Cross-Cultural,TFIDF_LR,5.0,2.0,0.0,1200,paired_unit,0.12216666666666666,0.0,0.10116666666666665,0.143,9.999000099990002e-05,3.6417844394251046e-31,573,199,428,16.583333333333332,
Cross-Cultural,TFIDF_LR,10.0,0.25,0.0,1200,paired_unit,-0.4128125,0.0,-0.47043802083333325,-0.3565796875,9.999000099990002e-05,0.0016398109843152287,530,273,397,22.75,
Cross-Cultural,TFIDF_LR,10.0,0.5,0.0,1200,paired_unit,-0.363125,0.0,-0.418834375,-0.30787395833333336,9.999000099990002e-05,0.0016385902157935303,530,273,397,22.75,
Cross-Cultural,TFIDF_LR,10.0,1.0,0.0,1200,paired_unit,-0.26375,0.0,-0.31666666666666665,-0.21183333333333335,9.999000099990002e-05,0.0028987938020581467,530,273,397,22.75,
Cross-Cultural,TFIDF_LR,10.0,2.0,0.0,1200,paired_unit,-0.065,0.0,-0.11316666666666668,-0.017995833333333388,0.009099090090990901,0.08888715737947406,535,248,417,20.666666666666668,
Cross-Cultural,TFIDF_LR,1.0,0.25,0.05,1200,paired_unit,0.0,0.0,0.0,0.0,1.0,1.0,0,0,1200,0.0,
Cross-Cultural,TFIDF_LR,1.0,0.5,0.05,1200,paired_unit,0.0,0.0,0.0,0.0,1.0,1.0,0,0,1200,0.0,
Cross-Cultural,TFIDF_LR,1.0,1.0,0.05,1200,paired_unit,0.0,0.0,0.0,0.0,1.0,1.0,0,0,1200,0.0,
Cross-Cultural,TFIDF_LR,1.0,2.0,0.05,1200,paired_unit,0.0,0.0,0.0,0.0,1.0,1.0,0,0,1200,0.0,
Cross-Cultural,TFIDF_LR,2.0,0.25,0.05,1200,paired_unit,-0.0236125,0.0,-0.0297,-0.017724687500000006,9.999000099990002e-05,0.005785372829186696,419,217,564,18.083333333333336,
Cross-Cultural,TFIDF_LR,2.0,0.5,0.05,1200,paired_unit,-0.0011750000000000057,0.0,-0.006716770833333338,0.004233333333333325,0.678932106789321,0.07999292622592537,431,205,564,17.083333333333332,
Cross-Cultural,TFIDF_LR,2.0,1.0,0.05,1200,paired_unit,0.04370000000000002,0.0,0.03803750000000002,0.049450000000000015,9.999000099990002e-05,1.7994281516492063e-54,502,134,564,11.166666666666666,
Cross-Cultural,TFIDF_LR,2.0,2.0,0.05,1200,paired_unit,0.13345000000000004,0.010000000000000231,0.12360802083333336,0.1435335416666667,9.999000099990002e-05,4.895652774506462e-106,636,0,564,0.0,
Cross-Cultural,TFIDF_LR,3.0,0.25,0.05,1200,paired_unit,-0.060725,0.0,-0.072341875,-0.049499999999999995,9.999000099990002e-05,0.002922702230737338,480,247,473,20.583333333333336,
Cross-Cultural,TFIDF_LR,3.0,0.5,0.05,1200,paired_unit,-0.029162499999999987,0.0,-0.04002968749999998,-0.01861239583333332,9.999000099990002e-05,0.17004454613750375,481,246,473,20.5,9.999000099990002e-05
Cross-Cultural,TFIDF_LR,3.0,1.0,0.05,1200,paired_unit,0.03396250000000002,0.0,0.023708229166666685,0.04427927083333335,9.999000099990002e-05,2.46064623295011e-17,523,204,473,17.0,
Cross-Cultural,TFIDF_LR,3.0,2.0,0.05,1200,paired_unit,0.16021249999999995,0.0349999999999997,0.1470789583333333,0.1735251041666666,9.999000099990002e-05,1.2361392649769472e-94,608,119,473,9.916666666666666,
Cross-Cultural,TFIDF_LR,5.0,0.25,0.05,1200,paired_unit,-0.147725,0.0,-0.17139999999999997,-0.125,9.999000099990002e-05,0.0016692928786316646,515,266,419,22.166666666666668,
Cross-Cultural,TFIDF_LR,5.0,0.5,0.05,1200,paired_unit,-0.10682916666666666,0.0,-0.12890010416666667,-0.0855415625,9.999000099990002e-05,0.003314718471629245,515,266,419,22.166666666666668,
Cross-Cultural,TFIDF_LR,5.0,1.0,0.05,1200,paired_unit,-0.025037500000000018,0.0,-0.045537812500000024,-0.004962187500000017,0.013298670132986702,0.02194562828090487,528,253,419,21.083333333333336,
Cross-Cultural,TFIDF_LR,5.0,2.0,0.05,1200,paired_unit,0.1385458333333333,0.0,0.1184323958333333,0.15892510416666664,9.999000099990002e-05,1.3485557267281224e-37,582,199,419,16.583333333333332,
Cross-Cultural,TFIDF_LR,10.0,0.25,0.05,1200,paired_unit,-0.3820625,0.0,-0.4382723958333333,-0.3290366666666667,9.999000099990002e-05,0.001647903166825003,530,273,397,22.75,
Cross-Cultural,TFIDF_LR,10.0,0.5,0.05,1200,paired_unit,-0.33237500000000003,0.0,-0.3849916666666667,-0.28213739583333336,9.999000099990002e-05,0.0016478173874550457,530,273,397,22.75,
Cross-Cultural,TFIDF_LR,10.0,1.0,0.05,1200,paired_unit,-0.233,0.0,-0.2826884375000001,-0.18305760416666675,9.999000099990002e-05,0.0034549740619303783,530,273,397,22.75,
Cross-Cultural,TFIDF_LR,10.0,2.0,0.05,1200,paired_unit,-0.034250000000000044,0.0,-0.08060958333333337,0.010946770833333268,0.1416858314168583,0.001150593432833681,555,248,397,20.666666666666668,
Cross-Cultural,TFIDF_LR,1.0,0.25,0.1,1200,paired_unit,0.0,0.0,0.0,0.0,1.0,1.0,0,0,1200,0.0,
Cross-Cultural,TFIDF_LR,1.0,0.5,0.1,1200,paired_unit,0.0,0.0,0.0,0.0,1.0,1.0,0,0,1200,0.0,
