dataset,config,fold,seed,method,cost_ratio,C_rev,eps_hum,q_truth,q_lie,n_test,n_truth,n_lie,n_reject,n_accept,n_singleton,n_empty,n_ambiguous,n_fp,n_fn,n_tp,n_tn,fp_rate,fn_rate,reject_rate,decision_coverage,acceptance_rate,label_coverage,label_coverage_truth,label_coverage_lie,total_cost,expected_cost
SEUMLD,OADNet_audio,3,123,singh_eps0,2.0,1.0,0.0,0.3686262369155884,0.8036274760961533,657,422,235,514,143,143,0,514,71,6,52,14,0.16824644549763032,0.02553191489361702,0.7823439878234398,0.2176560121765601,0.2176560121765601,0.882800608828006,0.8317535545023697,0.9744680851063829,597.0,0.908675799086758
SEUMLD,OADNet_audio,3,123,singh,2.0,1.0,0.05,0.3686262369155884,0.8036274760961533,657,422,235,514,143,143,0,514,71,6,52,14,0.16824644549763032,0.02553191489361702,0.7823439878234398,0.2176560121765601,0.2176560121765601,0.882800608828006,0.8317535545023697,0.9744680851063829,631.55,0.9612633181126331
SEUMLD,OADNet_audio,3,123,singh,2.0,1.0,0.1,0.3686262369155884,0.8036274760961533,657,422,235,514,143,143,0,514,71,6,52,14,0.16824644549763032,0.02553191489361702,0.7823439878234398,0.2176560121765601,0.2176560121765601,0.882800608828006,0.8317535545023697,0.9744680851063829,666.1,1.0138508371385084
SEUMLD,OADNet_audio,3,123,singh,2.0,1.0,0.2,0.3686262369155884,0.8036274760961533,657,422,235,514,143,143,0,514,71,6,52,14,0.16824644549763032,0.02553191489361702,0.7823439878234398,0.2176560121765601,0.2176560121765601,0.882800608828006,0.8317535545023697,0.9744680851063829,735.2,1.1190258751902589
SEUMLD,OADNet_audio,3,123,bayes_tau,2.0,1.0,0.0,0.3333333333333333,0.3333333333333333,657,422,235,0,657,657,0,0,147,137,98,275,0.34834123222748814,0.5829787234042553,0.0,1.0,1.0,,,,421.0,0.6407914764079148
SEUMLD,OADNet_audio,3,123,cs_mondrian,2.0,2.0,0.0,0.3686262369155884,0.8134084790945053,657,422,235,522,135,135,0,522,71,5,52,7,0.16824644549763032,0.02127659574468085,0.7945205479452054,0.2054794520547945,0.2054794520547945,0.8843226788432268,0.8317535545023697,0.9787234042553191,1125.0,1.7123287671232876
SEUMLD,OADNet_audio,3,123,cs_mondrian,2.0,2.0,0.05,0.3686262369155884,0.8134084790945053,657,422,235,522,135,135,0,522,71,5,52,7,0.16824644549763032,0.02127659574468085,0.7945205479452054,0.2054794520547945,0.2054794520547945,0.8843226788432268,0.8317535545023697,0.9787234042553191,1160.0,1.765601217656012
SEUMLD,OADNet_audio,3,123,cs_mondrian,2.0,2.0,0.1,0.3686262369155884,0.8134084790945053,657,422,235,522,135,135,0,522,71,5,52,7,0.16824644549763032,0.02127659574468085,0.7945205479452054,0.2054794520547945,0.2054794520547945,0.8843226788432268,0.8317535545023697,0.9787234042553191,1195.0,1.8188736681887367
SEUMLD,OADNet_audio,3,123,cs_mondrian,2.0,2.0,0.2,0.3686262369155884,0.8134084790945053,657,422,235,522,135,135,0,522,71,5,52,7,0.16824644549763032,0.02127659574468085,0.7945205479452054,0.2054794520547945,0.2054794520547945,0.8843226788432268,0.8317535545023697,0.9787234042553191,1265.0,1.9254185692541856
SEUMLD,OADNet_audio,3,123,singh_eps0,2.0,2.0,0.0,0.3686262369155884,0.8036274760961533,657,422,235,514,143,143,0,514,71,6,52,14,0.16824644549763032,0.02553191489361702,0.7823439878234398,0.2176560121765601,0.2176560121765601,0.882800608828006,0.8317535545023697,0.9744680851063829,1111.0,1.691019786910198
SEUMLD,OADNet_audio,3,123,singh,2.0,2.0,0.05,0.3686262369155884,0.8036274760961533,657,422,235,514,143,143,0,514,71,6,52,14,0.16824644549763032,0.02553191489361702,0.7823439878234398,0.2176560121765601,0.2176560121765601,0.882800608828006,0.8317535545023697,0.9744680851063829,1145.55,1.743607305936073
SEUMLD,OADNet_audio,3,123,singh,2.0,2.0,0.1,0.3686262369155884,0.8036274760961533,657,422,235,514,143,143,0,514,71,6,52,14,0.16824644549763032,0.02553191489361702,0.7823439878234398,0.2176560121765601,0.2176560121765601,0.882800608828006,0.8317535545023697,0.9744680851063829,1180.1,1.7961948249619482
