dataset,config,fold,seed,cost_ratio,C_rev,baseline,target_type,target_value,achieved_cs,achieved_bl,cost_cs,cost_bl,delta_cost
MDPE,OADNet_text,2,2026,1.0,0.5,mondrian,reject_rate,0.7,0.7098501070663812,0.7098501070663812,0.4266595289079229,0.4266595289079229,0.0
MDPE,OADNet_text,2,2026,1.0,1.0,mondrian,reject_rate,0.7,0.7098501070663812,0.7098501070663812,0.7815845824411135,0.7815845824411135,0.0
MDPE,OADNet_text,2,2026,1.0,2.0,mondrian,reject_rate,0.7,0.7098501070663812,0.7098501070663812,1.4914346895074946,1.4914346895074946,0.0
MDPE,OADNet_text,3,7,1.0,0.25,mondrian,reject_rate,0.7,0.6743421052631579,0.6743421052631579,0.2617872807017544,0.2617872807017544,0.0
MDPE,OADNet_text,3,7,1.0,0.5,mondrian,reject_rate,0.7,0.6743421052631579,0.6743421052631579,0.4303728070175439,0.4303728070175439,0.0
MDPE,OADNet_text,3,7,1.0,1.0,mondrian,reject_rate,0.7,0.6743421052631579,0.6743421052631579,0.7675438596491229,0.7675438596491229,0.0
MDPE,OADNet_text,3,7,1.0,2.0,mondrian,reject_rate,0.7,0.6743421052631579,0.6743421052631579,1.4418859649122806,1.4418859649122806,0.0
MDPE,OADNet_text,3,7,2.0,0.25,mondrian,reject_rate,0.7,0.7203947368421053,0.6743421052631579,0.27658991228070173,0.2870065789473684,-0.010416666666666685
MDPE,OADNet_text,3,7,2.0,0.5,mondrian,reject_rate,0.7,0.7203947368421053,0.6743421052631579,0.45668859649122806,0.4555921052631579,0.001096491228070151
MDPE,OADNet_text,3,7,2.0,1.0,mondrian,reject_rate,0.7,0.7203947368421053,0.6743421052631579,0.8168859649122807,0.7927631578947368,0.02412280701754388
MDPE,OADNet_text,3,7,2.0,2.0,mondrian,reject_rate,0.7,0.7203947368421053,0.6743421052631579,1.537280701754386,1.4671052631578947,0.07017543859649122
MDPE,OADNet_text,4,42,1.0,0.25,mondrian,reject_rate,0.7,0.6706915477497256,0.6706915477497256,0.2521953896816685,0.2521953896816685,0.0
MDPE,OADNet_text,4,42,1.0,0.5,mondrian,reject_rate,0.7,0.6706915477497256,0.6706915477497256,0.41986827661909987,0.41986827661909987,0.0
MDPE,OADNet_text,4,42,1.0,1.0,mondrian,reject_rate,0.7,0.6706915477497256,0.6706915477497256,0.7552140504939627,0.7552140504939627,0.0
MDPE,OADNet_text,4,42,1.0,2.0,mondrian,reject_rate,0.7,0.6706915477497256,0.6706915477497256,1.4259055982436883,1.4259055982436883,0.0
MDPE,OADNet_audio,1,2026,1.0,0.25,mondrian,reject_rate,0.7,0.7127192982456141,0.7127192982456141,0.30098684210526316,0.30098684210526316,0.0
MDPE,OADNet_audio,1,2026,1.0,0.5,mondrian,reject_rate,0.7,0.7127192982456141,0.7127192982456141,0.4791666666666667,0.4791666666666667,0.0
MDPE,OADNet_audio,1,2026,1.0,1.0,mondrian,reject_rate,0.7,0.7127192982456141,0.7127192982456141,0.8355263157894737,0.8355263157894737,0.0
MDPE,OADNet_audio,1,2026,1.0,2.0,mondrian,reject_rate,0.7,0.7127192982456141,0.7127192982456141,1.5482456140350878,1.5482456140350878,0.0
MDPE,OADNet_audio,2,42,1.0,0.25,mondrian,reject_rate,0.7,0.6873661670235546,0.6873661670235546,0.3099571734475375,0.3099571734475375,0.0
MDPE,OADNet_audio,2,42,1.0,0.5,mondrian,reject_rate,0.7,0.6873661670235546,0.6873661670235546,0.4817987152034261,0.4817987152034261,0.0
MDPE,OADNet_audio,2,42,1.0,1.0,mondrian,reject_rate,0.7,0.6873661670235546,0.6873661670235546,0.8254817987152034,0.8254817987152034,0.0
MDPE,OADNet_audio,2,42,1.0,2.0,mondrian,reject_rate,0.7,0.6873661670235546,0.6873661670235546,1.5128479657387581,1.5128479657387581,0.0
MDPE,OADNet_audio,2,42,2.0,0.25,mondrian,reject_rate,0.7,0.7269807280513919,0.6873661670235546,0.32735546038543895,0.34528907922912205,-0.017933618843683108
MDPE,OADNet_audio,2,42,2.0,0.5,mondrian,reject_rate,0.7,0.7269807280513919,0.6873661670235546,0.5091006423982869,0.5171306209850107,-0.00802997858672383
MDPE,OADNet_audio,2,42,2.0,1.0,mondrian,reject_rate,0.7,0.7269807280513919,0.6873661670235546,0.8725910064239829,0.860813704496788,0.01177730192719495
MDPE,OADNet_audio,2,42,2.0,2.0,mondrian,reject_rate,0.7,0.7269807280513919,0.6873661670235546,1.5995717344753748,1.5481798715203425,0.051391862955032286
MDPE,OADNet_audio,2,123,1.0,0.25,mondrian,reject_rate,0.7,0.683083511777302,0.683083511777302,0.30674518201284795,0.30674518201284795,0.0
MDPE,OADNet_audio,2,123,1.0,0.5,mondrian,reject_rate,0.7,0.683083511777302,0.683083511777302,0.47751605995717344,0.47751605995717344,0.0
MDPE,OADNet_audio,2,123,1.0,1.0,mondrian,reject_rate,0.7,0.683083511777302,0.683083511777302,0.8190578158458244,0.8190578158458244,0.0
MDPE,OADNet_audio,2,123,1.0,2.0,mondrian,reject_rate,0.7,0.683083511777302,0.683083511777302,1.5021413276231264,1.5021413276231264,0.0
MDPE,OADNet_audio,2,123,2.0,0.25,mondrian,reject_rate,0.7,0.728051391862955,0.683083511777302,0.3351177730192719,0.3495717344753747,-0.014453961456102782
MDPE,OADNet_audio,2,123,2.0,0.5,mondrian,reject_rate,0.7,0.728051391862955,0.683083511777302,0.5171306209850107,0.5203426124197003,-0.0032119914346895317
MDPE,OADNet_audio,2,123,2.0,1.0,mondrian,reject_rate,0.7,0.728051391862955,0.683083511777302,0.8811563169164882,0.8618843683083511,0.01927194860813708
MDPE,OADNet_audio,2,123,2.0,2.0,mondrian,reject_rate,0.7,0.728051391862955,0.683083511777302,1.6092077087794432,1.544967880085653,0.06423982869379019
MDPE,OADNet_audio,2,2024,1.0,0.25,mondrian,reject_rate,0.7,0.6937901498929336,0.6937901498929336,0.30513918629550324,0.30513918629550324,0.0
MDPE,OADNet_audio,2,2024,1.0,0.5,mondrian,reject_rate,0.7,0.6937901498929336,0.6937901498929336,0.4785867237687366,0.4785867237687366,0.0
MDPE,OADNet_audio,2,2024,1.0,1.0,mondrian,reject_rate,0.7,0.6937901498929336,0.6937901498929336,0.8254817987152034,0.8254817987152034,0.0
MDPE,OADNet_audio,2,2024,1.0,2.0,mondrian,reject_rate,0.7,0.6937901498929336,0.6937901498929336,1.519271948608137,1.519271948608137,0.0
