dataset,config,cost_ratio,C_rev,n_independent_subjects,mean_delta,median_delta,bootstrap_ci_2.5,bootstrap_ci_97.5,permutation_p,wilcoxon_p,sign_p,n_positive,n_negative,n_zero,cs_wins_pct
MDPE,OADNet_text,2.0,2.0,191,0.09340617649290539,0.0833333333333334,0.08632284315957206,0.10051255785719702,9.999000099990002e-05,8.867198932856871e-33,2.5489470578119236e-57,189,0,2,0.0
MDPE,OADNet_text,3.0,0.25,191,-0.05011713711207224,-0.03958333333333333,-0.057995307401927314,-0.04243577614007133,9.999000099990002e-05,4.5731084574289686e-23,1.84235335016106e-13,45,145,1,75.91623036649214
MDPE,OADNet_text,3.0,0.5,191,-0.026776500493208892,-0.016666666666666698,-0.03402477426208361,-0.019806842324910843,9.999000099990002e-05,1.3758417145891338e-09,4.090026923467007e-05,66,123,2,64.3979057591623
MDPE,OADNet_text,3.0,1.0,191,0.019904772744517792,0.024999999999999977,0.013507900827073373,0.026385158206237182,9.999000099990002e-05,2.326319703485673e-08,2.948779291998265e-08,132,56,3,29.31937172774869
MDPE,OADNet_text,3.0,2.0,191,0.11326731921997119,0.10833333333333325,0.10452993398588663,0.12227829311783898,9.999000099990002e-05,7.950622978028752e-33,1.4571387219099377e-51,187,3,1,1.5706806282722512
MDPE,OADNet_text,5.0,0.25,191,-0.12498814401699673,-0.09583333333333333,-0.14383596773275664,-0.10759623501403749,9.999000099990002e-05,1.1380826234796323e-26,3.627727204587861e-18,37,154,0,80.6282722513089
MDPE,OADNet_text,5.0,0.5,191,-0.094814667273693,-0.07083333333333328,-0.11199936926170422,-0.07826169948402763,9.999000099990002e-05,2.439341145111632e-19,1.825847246473081e-12,47,143,1,74.86910994764398
MDPE,OADNet_text,5.0,1.0,191,-0.03446771378708551,-0.016666666666666673,-0.049734473404658926,-0.019384674482130666,0.00019998000199980003,0.0005142466129588198,0.10741108743413678,82,105,4,54.973821989528794
MDPE,OADNet_text,5.0,2.0,191,0.08622619318612944,0.08333333333333334,0.07239656840427955,0.10019951248197889,9.999000099990002e-05,2.3025474142128307e-21,2.234852059582318e-23,161,29,1,15.18324607329843
MDPE,OADNet_text,10.0,0.25,191,-0.31939069732149633,-0.2875,-0.36179851705364596,-0.27871925743607256,9.999000099990002e-05,9.703928758255969e-29,1.9585913081662178e-19,35,156,0,81.67539267015707
MDPE,OADNet_text,10.0,0.5,191,-0.2816981561575233,-0.2416666666666667,-0.32164731770240534,-0.2422109511343805,9.999000099990002e-05,7.681413896256031e-26,2.3849687510454594e-17,38,152,1,79.58115183246073
MDPE,OADNet_text,10.0,1.0,191,-0.2063130738295774,-0.15,-0.2435415243948706,-0.16931050345246224,9.999000099990002e-05,3.07047160195691e-18,9.258720231217133e-10,53,137,1,71.72774869109948
MDPE,OADNet_text,10.0,2.0,191,-0.055542909173685415,-0.016666666666666653,-0.08826580165414674,-0.022990837696335087,0.0013998600139986002,0.016664088742294015,0.4249319290622428,89,101,1,52.879581151832454
MDPE,OADNet_audio,1.0,0.25,191,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,191,0.0
MDPE,OADNet_audio,1.0,0.5,191,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,191,0.0
MDPE,OADNet_audio,1.0,1.0,191,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,191,0.0
