dataset,config,fold,seed,method,cost_ratio,C_rev,alpha_truth,alpha_lie,q_truth,q_lie,n_test,n_truth,n_lie,n_reject,n_accept,n_singleton,n_empty,n_ambiguous,n_fp,n_fn,n_tp,n_tn,fp_rate,fn_rate,reject_rate,empty_set_rate,decision_coverage,acceptance_rate,label_coverage,label_coverage_truth,label_coverage_lie,total_cost,expected_cost
MDPE,OADNet_text,0,2026,geometric,2.0,2.0,0.1,0.1,0.0,0.0,912,570,342,467,445,445,467,0,62,73,62,248,0.10877192982456141,0.2134502923976608,0.5120614035087719,0.5120614035087719,0.48793859649122806,0.48793859649122806,0.3399122807017544,0.43508771929824563,0.18128654970760233,1142.0,1.2521929824561404
MDPE,OADNet_text,0,2026,geometric,3.0,0.25,0.1,0.1,0.0,0.0,912,570,342,467,445,445,467,0,62,73,62,248,0.10877192982456141,0.2134502923976608,0.5120614035087719,0.5120614035087719,0.48793859649122806,0.48793859649122806,0.3399122807017544,0.43508771929824563,0.18128654970760233,397.75,0.4361293859649123
MDPE,OADNet_text,0,2026,geometric,3.0,0.5,0.1,0.1,0.0,0.0,912,570,342,467,445,445,467,0,62,73,62,248,0.10877192982456141,0.2134502923976608,0.5120614035087719,0.5120614035087719,0.48793859649122806,0.48793859649122806,0.3399122807017544,0.43508771929824563,0.18128654970760233,514.5,0.5641447368421053
MDPE,OADNet_text,0,2026,geometric,3.0,1.0,0.1,0.1,0.0,0.0,912,570,342,467,445,445,467,0,62,73,62,248,0.10877192982456141,0.2134502923976608,0.5120614035087719,0.5120614035087719,0.48793859649122806,0.48793859649122806,0.3399122807017544,0.43508771929824563,0.18128654970760233,748.0,0.8201754385964912
MDPE,OADNet_text,0,2026,geometric,3.0,2.0,0.1,0.1,0.0,0.0,912,570,342,467,445,445,467,0,62,73,62,248,0.10877192982456141,0.2134502923976608,0.5120614035087719,0.5120614035087719,0.48793859649122806,0.48793859649122806,0.3399122807017544,0.43508771929824563,0.18128654970760233,1215.0,1.332236842105263
MDPE,OADNet_text,0,2026,geometric,5.0,0.25,0.1,0.1,0.0,0.0,912,570,342,467,445,445,467,0,62,73,62,248,0.10877192982456141,0.2134502923976608,0.5120614035087719,0.5120614035087719,0.48793859649122806,0.48793859649122806,0.3399122807017544,0.43508771929824563,0.18128654970760233,543.75,0.5962171052631579
MDPE,OADNet_text,0,2026,geometric,5.0,0.5,0.1,0.1,0.0,0.0,912,570,342,467,445,445,467,0,62,73,62,248,0.10877192982456141,0.2134502923976608,0.5120614035087719,0.5120614035087719,0.48793859649122806,0.48793859649122806,0.3399122807017544,0.43508771929824563,0.18128654970760233,660.5,0.7242324561403509
MDPE,OADNet_text,0,2026,geometric,5.0,1.0,0.1,0.1,0.0,0.0,912,570,342,467,445,445,467,0,62,73,62,248,0.10877192982456141,0.2134502923976608,0.5120614035087719,0.5120614035087719,0.48793859649122806,0.48793859649122806,0.3399122807017544,0.43508771929824563,0.18128654970760233,894.0,0.9802631578947368
MDPE,OADNet_text,0,2026,geometric,5.0,2.0,0.1,0.1,0.0,0.0,912,570,342,467,445,445,467,0,62,73,62,248,0.10877192982456141,0.2134502923976608,0.5120614035087719,0.5120614035087719,0.48793859649122806,0.48793859649122806,0.3399122807017544,0.43508771929824563,0.18128654970760233,1361.0,1.4923245614035088
MDPE,OADNet_text,0,2026,geometric,10.0,0.25,0.1,0.1,0.0,0.0,912,570,342,467,445,445,467,0,62,73,62,248,0.10877192982456141,0.2134502923976608,0.5120614035087719,0.5120614035087719,0.48793859649122806,0.48793859649122806,0.3399122807017544,0.43508771929824563,0.18128654970760233,908.75,0.9964364035087719
MDPE,OADNet_text,0,2026,geometric,10.0,0.5,0.1,0.1,0.0,0.0,912,570,342,467,445,445,467,0,62,73,62,248,0.10877192982456141,0.2134502923976608,0.5120614035087719,0.5120614035087719,0.48793859649122806,0.48793859649122806,0.3399122807017544,0.43508771929824563,0.18128654970760233,1025.5,1.124451754385965
MDPE,OADNet_text,0,2026,geometric,10.0,1.0,0.1,0.1,0.0,0.0,912,570,342,467,445,445,467,0,62,73,62,248,0.10877192982456141,0.2134502923976608,0.5120614035087719,0.5120614035087719,0.48793859649122806,0.48793859649122806,0.3399122807017544,0.43508771929824563,0.18128654970760233,1259.0,1.3804824561403508
MDPE,OADNet_text,0,2026,geometric,10.0,2.0,0.1,0.1,0.0,0.0,912,570,342,467,445,445,467,0,62,73,62,248,0.10877192982456141,0.2134502923976608,0.5120614035087719,0.5120614035087719,0.48793859649122806,0.48793859649122806,0.3399122807017544,0.43508771929824563,0.18128654970760233,1726.0,1.8925438596491229
MDPE,OADNet_text,1,7,split_conformal,1.0,0.25,0.1,0.1,0.8086545318365097,0.8086545318365097,912,570,342,570,342,342,0,570,13,73,15,241,0.02280701754385965,0.2134502923976608,0.625,0.0,0.375,0.375,0.9057017543859649,0.9771929824561404,0.7865497076023392,228.5,0.2505482456140351
MDPE,OADNet_text,1,7,split_conformal,1.0,0.5,0.1,0.1,0.8086545318365097,0.8086545318365097,912,570,342,570,342,342,0,570,13,73,15,241,0.02280701754385965,0.2134502923976608,0.625,0.0,0.375,0.375,0.9057017543859649,0.9771929824561404,0.7865497076023392,371.0,0.4067982456140351
MDPE,OADNet_text,1,7,split_conformal,1.0,1.0,0.1,0.1,0.8086545318365097,0.8086545318365097,912,570,342,570,342,342,0,570,13,73,15,241,0.02280701754385965,0.2134502923976608,0.625,0.0,0.375,0.375,0.9057017543859649,0.9771929824561404,0.7865497076023392,656.0,0.7192982456140351
MDPE,OADNet_text,1,7,split_conformal,1.0,2.0,0.1,0.1,0.8086545318365097,0.8086545318365097,912,570,342,570,342,342,0,570,13,73,15,241,0.02280701754385965,0.2134502923976608,0.625,0.0,0.375,0.375,0.9057017543859649,0.9771929824561404,0.7865497076023392,1226.0,1.344298245614035
