dataset,config,cost_ratio,C_rev,cs_mondrian,mondrian,delta_cost
MDPE,OADNet_text,2.0,0.25,0.28454899753438245,0.30382972589196106,-0.019280728357578603
MDPE,OADNet_text,2.0,0.5,0.46007424924769824,0.46325059338367,-0.0031763441359717315
MDPE,OADNet_text,2.0,1.0,0.8111247526743296,0.782092328367088,0.029032424307241622
MDPE,OADNet_text,2.0,2.0,1.5132257595275924,1.4197757983339236,0.09344996119366877
MDPE,OADNet_text,3.0,0.25,0.29339821156648466,0.3435587834319296,-0.050160571865444925
MDPE,OADNet_text,3.0,0.5,0.4761750016257793,0.5029796509236385,-0.026804649297859195
MDPE,OADNet_text,3.0,1.0,0.8417285817443687,0.8218213859070563,0.019907195837312375
MDPE,OADNet_text,3.0,2.0,1.5728357419815473,1.4595048558738921,0.11333088610765518
MDPE,OADNet_text,5.0,0.25,0.29796073301759607,0.4230168985118666,-0.1250561654942705
MDPE,OADNet_text,5.0,0.5,0.48756448354094856,0.5824377660035754,-0.09487328246262688
MDPE,OADNet_text,5.0,1.0,0.8667719845876535,0.9012795009869934,-0.03450751639933991
MDPE,OADNet_text,5.0,2.0,1.6251869866810633,1.5389629709538293,0.08622401572723404
MDPE,OADNet_text,10.0,0.25,0.302113400121419,0.6216621862117091,-0.3195487860902901
MDPE,OADNet_text,10.0,0.5,0.49924110668827665,0.7810830537034179,-0.28184194701514126
MDPE,OADNet_text,10.0,1.0,0.893496519821992,1.099924788686836,-0.206428268864844
MDPE,OADNet_text,10.0,2.0,1.6820073460894225,1.7376082586536716,-0.05560091256424915
SEUMLD,OADNet_audio,1.0,0.25,0.28273427337468,0.28273427337468,0.0
SEUMLD,OADNet_audio,1.0,0.5,0.47624946517122707,0.47624946517122707,0.0
SEUMLD,OADNet_audio,1.0,1.0,0.8632798487643213,0.8632798487643213,0.0
SEUMLD,OADNet_audio,1.0,2.0,1.6373406159505095,1.6373406159505095,0.0
SEUMLD,OADNet_audio,2.0,0.25,0.29929797857243784,0.31080183275966033,-0.011503854187222495
SEUMLD,OADNet_audio,2.0,0.5,0.502932521608607,0.5043170245562074,-0.0013845029476003967
SEUMLD,OADNet_audio,2.0,1.0,0.9102016076809454,0.8913474081493016,0.0188541995316438
SEUMLD,OADNet_audio,2.0,2.0,1.7247397798256225,1.66540817533549,0.05933160449013264
SEUMLD,OADNet_audio,3.0,0.25,0.30663395656228126,0.3388693921446406,-0.03223543558235936
SEUMLD,OADNet_audio,3.0,0.5,0.5149263469092324,0.5323845839411877,-0.01745823703195526
SEUMLD,OADNet_audio,3.0,1.0,0.9315111276031345,0.9194149675342819,0.012096160068852613
SEUMLD,OADNet_audio,3.0,2.0,1.7646806889909388,1.6934757347204703,0.07120495427046847
SEUMLD,OADNet_audio,5.0,0.25,0.30932074157134504,0.3950045109146012,-0.08568376934325617
SEUMLD,OADNet_audio,5.0,0.5,0.5225416928124568,0.5885197027111483,-0.06597800989869151
SEUMLD,OADNet_audio,5.0,1.0,0.9489835952946801,0.9755500863042424,-0.02656649100956232
SEUMLD,OADNet_audio,5.0,2.0,1.8018674002591268,1.7496108534904309,0.052256546768695955
SEUMLD,OADNet_audio,10.0,0.25,0.30610028035805986,0.5353423078395028,-0.2292420274814429
SEUMLD,OADNet_audio,10.0,0.5,0.523493400219905,0.7288574996360498,-0.20536409941614486
SEUMLD,OADNet_audio,10.0,1.0,0.9582796399435951,1.115887883229144,-0.1576082432855488
SEUMLD,OADNet_audio,10.0,2.0,1.8278521193909754,1.8899486504153322,-0.06209653102435686
SEUMLD,OADNet_text,1.0,0.25,0.26119553524943995,0.26119553524943995,0.0
SEUMLD,OADNet_text,1.0,0.5,0.4231218150921585,0.4231218150921585,0.0
SEUMLD,OADNet_text,1.0,1.0,0.7469743747775958,0.7469743747775958,0.0
SEUMLD,OADNet_text,1.0,2.0,1.3946794941484704,1.3946794941484704,0.0
SEUMLD,OADNet_text,2.0,0.25,0.2768700268973235,0.29311299729171153,-0.016242970394388045
SEUMLD,OADNet_text,2.0,0.5,0.4590328589682766,0.4550392771344301,0.003993581833846516
SEUMLD,OADNet_text,2.0,1.0,0.8233585231101829,0.7788918368198674,0.04446668629031547
SEUMLD,OADNet_text,2.0,2.0,1.5520098513939953,1.426596956190742,0.12541289520325338
SEUMLD,OADNet_text,3.0,0.25,0.2840282145043136,0.3250304593339831,-0.04100224482966952
SEUMLD,OADNet_text,3.0,0.5,0.4733199939235431,0.4869567391767017,-0.013636745253158555
SEUMLD,OADNet_text,3.0,1.0,0.851903552762002,0.8108092988621389,0.0410942538998631
SEUMLD,OADNet_text,3.0,2.0,1.6090706704389204,1.4585144182330134,0.15055625220590696
