source,r,B,comparison,family,n_units,delta_cost,delta_cost_ci_low,delta_cost_ci_high,sign_flip_p,wilcoxon_p,delta_reject,delta_reject_ci_low,delta_reject_ci_high,delta_reject_sign_flip_p,delta_fp_per_sample,delta_fn_per_sample,excluded_degenerate_units,sign_flip_p_holm
CrossCultural,2.0,0.7,cs_vs_uni,secondary,1192,-0.009504924605595747,-0.013990895063409744,-0.0051671243384225785,9.999000099990002e-05,0.008407074374201318,-0.0010228725413289176,-0.007498761812153174,0.005449038866614366,0.7583241675832417,0.011822866730584853,-0.01040817753275807,0,
CrossCultural,2.0,0.8,cs_vs_uni,secondary,1192,-0.006485932854431176,-0.010376255892457654,-0.0028246571661001206,0.0006999300069993001,0.17901413449936243,0.01810602126248099,0.012823781393150102,0.023449194122432373,9.999000099990002e-05,0.00538460770214126,-0.010461775593906467,0,
CrossCultural,5.0,0.6,cs_vs_uni,secondary,1192,-0.10466568701153431,-0.12378862196539943,-0.08653201496781092,9.999000099990002e-05,2.886441976235237e-09,-0.009120341114888094,-0.021269699405972477,0.0029671864710140643,0.13758624137586242,0.042958028874555715,-0.0286127090657292,0,
CrossCultural,5.0,0.7,cs_vs_uni,secondary,1192,-0.08028808730885073,-0.09659434881684777,-0.06473225313265688,9.999000099990002e-05,1.4563421529896246e-08,-0.002637003423496714,-0.013272332248055825,0.007903068541963258,0.6316368363163684,0.02675342228614041,-0.021144601576648558,0,
CrossCultural,5.0,0.8,cs_vs_uni,secondary,1192,-0.06345859118510126,-0.07899034557735796,-0.04895197821031505,9.999000099990002e-05,0.033653849223014884,0.03449687430392129,0.02533829122965029,0.04375354092216508,9.999000099990002e-05,0.013821142271226165,-0.01890563412165761,0,
CrossCultural,10.0,0.6,cs_vs_uni,secondary,1192,-0.3049036400074571,-0.3531594333873853,-0.2588990404781879,9.999000099990002e-05,4.6794281020787494e-08,-0.0067488917216266195,-0.021277801156943357,0.007829487347104792,0.36836316368363164,0.05785412853365874,-0.035938332268030254,0,
CrossCultural,10.0,0.7,cs_vs_uni,secondary,1192,-0.21793713894699632,-0.2561498280307268,-0.1815407227612293,9.999000099990002e-05,1.3552495224203996e-08,-0.014655135366125303,-0.027728181412640305,-0.0013106621252070103,0.0263973602639736,0.040896833870827154,-0.025150640513476086,0,
CrossCultural,10.0,0.8,cs_vs_uni,secondary,1192,-0.17995499851099683,-0.21455374677231326,-0.14721541899853038,9.999000099990002e-05,5.8649782601158145e-08,0.0013013191599601035,-0.010320535547832108,0.013206580803843808,0.8336166383361664,0.02605315196548418,-0.020665881005646106,0,
MDPE_OADNet_audio,3.0,0.6,cs_vs_uni,secondary,191,-0.04953619394491236,-0.05998020050838457,-0.039604413271113144,9.999000099990002e-05,1.9591129147236774e-14,0.016642006222019882,-0.0018856703847029358,0.03495181728507474,0.0735926407359264,0.05527733515441233,-0.037711510736778205,0,
MDPE_OADNet_audio,3.0,0.6,cs_vs_free2d,secondary,191,-0.030307686470900673,-0.03952889065938236,-0.021297898171333183,9.999000099990002e-05,1.1339012498261087e-05,-0.019550041733060172,-0.03737954321268685,-0.0017941896198497768,0.028697130286971302,0.050984520828590944,-0.02383906214432051,0,
