source,r,B,arm,n_runs,mean_cost,mean_reject_rate,mean_fp_per_sample,mean_fn_per_sample,budget_violation_rate,selection_feasible_rate,degenerate_run_rate,mode_alpha_truth,mode_alpha_lie,mean_cost_decomp_residual
MDPE_OADNet_audio,10.0,0.7,uni,25,0.9374195200588176,0.6732550149982006,0.09811091383889316,0.050268109872082405,0.36,1.0,0.0,0.15,0.15,0.0
MDPE_OADNet_audio,10.0,0.8,cs,25,0.5894418245033415,0.7672081208634638,0.11887092122696215,0.008696684284464738,0.28,1.0,0.0,0.2,0.02,0.0
MDPE_OADNet_audio,10.0,0.8,uni,25,0.7743429827922241,0.7800391310746774,0.06749439637072452,0.031682902088416086,0.44,1.0,0.0,0.1,0.1,0.0
MDPE_OADNet_text,2.0,0.6,cs,25,0.4695029836503716,0.5186062917803114,0.1277317239623456,0.04123405689893517,0.04,1.0,0.0,0.2,0.1,0.0
MDPE_OADNet_text,2.0,0.6,uni,25,0.47305035747763013,0.5274397102892221,0.0947350504490553,0.05729772594198189,0.04,1.0,0.0,0.15,0.15,0.0
MDPE_OADNet_text,2.0,0.7,cs,25,0.46160954459664155,0.6178448325311241,0.09327894766532939,0.029704090332875063,0.08,1.0,0.0,0.15,0.075,0.0
MDPE_OADNet_text,2.0,0.7,uni,25,0.465846364825534,0.6418129938137088,0.06341393827498487,0.040762964821847374,0.12,1.0,0.0,0.1,0.1,0.0
MDPE_OADNet_text,2.0,0.8,cs,25,0.4602842255511144,0.7515369590665268,0.05048519914033491,0.017015273438758055,0.12,1.0,0.0,0.075,0.0375,0.0
MDPE_OADNet_text,2.0,0.8,uni,25,0.46033214537011247,0.7451987263127461,0.039086837604215344,0.024322972304762054,0.12,1.0,0.0,0.05,0.05,0.0
MDPE_OADNet_text,3.0,0.6,cs,25,0.49393293908855496,0.5431130881769495,0.1340494873609629,0.029442302546372444,0.16,1.0,0.0,0.2,0.06666666666666667,0.0
MDPE_OADNet_text,3.0,0.6,free2d,25,0.5180696363128621,0.5662133260994918,0.09129456320846399,0.04788947001821739,0.24,1.0,0.0,0.15,0.1,0.0
MDPE_OADNet_text,3.0,0.6,match,25,0.5367773735769482,0.49913810418834975,0.10280821084730668,0.06146670354515558,0.0,1.0,0.0,0.15,0.15,0.0
MDPE_OADNet_text,3.0,0.6,uni,25,0.5303480834196119,0.5274397102892221,0.0947350504490553,0.05729772594198189,0.04,1.0,0.0,0.15,0.15,0.0
MDPE_OADNet_text,3.0,0.7,cs,25,0.48397076453977617,0.640958113389209,0.09631399781747635,0.022392570009231793,0.08,1.0,0.0,0.15,0.049999999999999996,0.0
MDPE_OADNet_text,3.0,0.7,free2d,25,0.5034154267857253,0.6645244007925968,0.056323908782503054,0.03827643920230793,0.28,1.0,0.0,0.075,0.1,0.0
MDPE_OADNet_text,3.0,0.7,match,25,0.5087215427282635,0.6312181179731438,0.06506820778172817,0.042681425319987795,0.04,1.0,0.0,0.1,0.1,0.0
MDPE_OADNet_text,3.0,0.7,uni,25,0.5066093296473814,0.6418129938137088,0.06341393827498487,0.040762964821847374,0.12,1.0,0.0,0.1,0.1,0.0
MDPE_OADNet_text,3.0,0.8,cs,25,0.47329484849819436,0.7572717047103146,0.055788832547783995,0.012956721198417691,0.2,1.0,0.0,0.075,0.024999999999999998,0.0
MDPE_OADNet_text,3.0,0.8,free2d,25,0.48340487695232176,0.7539297814478396,0.036892121945694724,0.023182621427569064,0.12,1.0,0.0,0.05,0.05,0.0
MDPE_OADNet_text,3.0,0.8,match,25,0.48661279883565745,0.7334380232107263,0.041535242771426485,0.026119514819622623,0.04,0.92,0.0,0.05,0.05,0.0
MDPE_OADNet_text,3.0,0.8,uni,25,0.48465511767487457,0.7451987263127461,0.039086837604215344,0.024322972304762054,0.12,1.0,0.0,0.05,0.05,0.0
MDPE_OADNet_text,5.0,0.6,cs,25,0.5326133632089094,0.5371614633687903,0.15381383647666472,0.022043759009569893,0.12,1.0,0.0,0.25,0.05,0.0
MDPE_OADNet_text,5.0,0.6,uni,25,0.6449435353035758,0.5274397102892221,0.0947350504490553,0.05729772594198189,0.04,1.0,0.0,0.15,0.15,0.0
MDPE_OADNet_text,5.0,0.7,cs,25,0.508870921381602,0.6437514945932375,0.1099592112902362,0.015407192558949394,0.2,1.0,0.0,0.15,0.03,0.0
MDPE_OADNet_text,5.0,0.7,uni,25,0.5881352592910761,0.6418129938137088,0.06341393827498487,0.040762964821847374,0.12,1.0,0.0,0.1,0.1,0.0
MDPE_OADNet_text,5.0,0.8,cs,25,0.4886555063979827,0.7509774618123309,0.06910551014851231,0.008812253068661,0.24,1.0,0.0,0.1,0.02,0.0
MDPE_OADNet_text,5.0,0.8,uni,25,0.5333010622843987,0.7451987263127461,0.039086837604215344,0.024322972304762054,0.12,1.0,0.0,0.05,0.05,0.0
MDPE_OADNet_text,10.0,0.6,cs,25,0.5691814290931978,0.5515599738951598,0.1678145172627246,0.012558692488289336,0.12,1.0,0.0,0.25,0.025,0.0
MDPE_OADNet_text,10.0,0.6,uni,25,0.931432165013485,0.5274397102892221,0.0947350504490553,0.05729772594198189,0.04,1.0,0.0,0.15,0.15,0.0
MDPE_OADNet_text,10.0,0.7,cs,25,0.5299461515505068,0.6439849184588692,0.12860983169050244,0.007934386063056978,0.12,1.0,0.0,0.2,0.02,0.0
MDPE_OADNet_text,10.0,0.7,uni,25,0.7919500834003129,0.6418129938137088,0.06341393827498487,0.040762964821847374,0.12,1.0,0.0,0.1,0.1,0.0
MDPE_OADNet_text,10.0,0.8,cs,25,0.5133188879698476,0.7412641994862743,0.08697189255431845,0.0055714895672392,0.12,1.0,0.0,0.15,0.015,0.0
MDPE_OADNet_text,10.0,0.8,uni,25,0.654915923808209,0.7451987263127461,0.039086837604215344,0.024322972304762054,0.12,1.0,0.0,0.05,0.05,0.0
OpenDeception,2.0,0.6,cs,25,0.48985453922900846,0.5163912021803625,0.1164080850184468,0.057625426560190214,0.08,1.0,0.0,0.2,0.1,0.0
OpenDeception,2.0,0.6,uni,25,0.5134446663401979,0.5251063620840339,0.08766256736201763,0.08161445896808166,0.12,1.0,0.0,0.15,0.15,0.0
OpenDeception,2.0,0.7,cs,25,0.485059150353479,0.6304503983041543,0.08582866250130865,0.04200264435004661,0.08,1.0,0.0,0.15,0.075,0.0
OpenDeception,2.0,0.7,uni,25,0.5040594044320376,0.6051689034906577,0.07113573013255688,0.06516961127707593,0.12,1.0,0.0,0.15,0.15,0.0
OpenDeception,2.0,0.8,cs,25,0.4794866072998274,0.7321607069099385,0.05880891606495408,0.02729866888995208,0.08,1.0,0.0,0.1,0.05,0.0
OpenDeception,2.0,0.8,uni,25,0.4949060636989724,0.7419816440969914,0.0421299371514806,0.04089265224949799,0.04,1.0,0.0,0.075,0.075,0.0
OpenDeception,3.0,0.6,cs,25,0.5217755075083735,0.5276765796229642,0.12757673306413186,0.04345349487758651,0.12,1.0,0.0,0.25,0.08333333333333333,0.0
