dataset,config,r,B,feasible,selected_alpha_total,selected_alpha_lie,test_reject,test_expected_cost,test_fn,test_label_coverage_lie
MDPE,OADNet_text,3.0,0.8,True,0.1,0.03333333333333333,0.680921052631579,0.4610745614035088,0.04093567251461988,0.9590643274853801
MDPE,OADNet_text,3.0,0.5,True,0.3,0.09999999999999999,0.43578485181119647,0.5186608122941823,0.12573099415204678,0.8742690058479532
MDPE,OADNet_text,3.0,0.6,True,0.25,0.08333333333333333,0.5181119648737651,0.5137211855104281,0.1111111111111111,0.8888888888888888
MDPE,OADNet_text,3.0,0.7,True,0.15,0.049999999999999996,0.6838638858397366,0.4802414928649835,0.06140350877192982,0.9385964912280702
MDPE,OADNet_text,3.0,0.8,True,0.1,0.03333333333333333,0.743139407244786,0.4615806805708013,0.029239766081871343,0.9707602339181286
MDPE,OADNet_text,3.0,0.5,True,0.3,0.09999999999999999,0.44127332601536773,0.5828759604829857,0.21637426900584794,0.783625730994152
MDPE,OADNet_text,3.0,0.6,True,0.25,0.08333333333333333,0.4961580680570801,0.5532381997804611,0.1783625730994152,0.8216374269005848
MDPE,OADNet_text,3.0,0.7,True,0.15,0.049999999999999996,0.6608122941822173,0.5038419319429198,0.10818713450292397,0.8918128654970761
MDPE,OADNet_text,3.0,0.8,True,0.1,0.03333333333333333,0.7266739846322722,0.5005488474204172,0.09064327485380116,0.9093567251461988
MDPE,OADNet_text,3.0,0.5,True,0.3,0.09999999999999999,0.29637760702524696,0.5422612513721186,0.13157894736842105,0.868421052631579
MDPE,OADNet_text,3.0,0.6,True,0.2,0.06666666666666667,0.4665203073545554,0.5142700329308453,0.09649122807017543,0.9035087719298246
MDPE,OADNet_text,3.0,0.7,True,0.15,0.049999999999999996,0.5554335894621295,0.5027442371020856,0.0847953216374269,0.9152046783625731
MDPE,OADNet_text,3.0,0.8,True,0.15,0.049999999999999996,0.5554335894621295,0.5027442371020856,0.0847953216374269,0.9152046783625731
MDPE,OADNet_text,3.0,0.5,True,0.3,0.09999999999999999,0.3391877058177827,0.5153677277716795,0.1111111111111111,0.8888888888888888
MDPE,OADNet_text,3.0,0.6,True,0.2,0.06666666666666667,0.5488474204171241,0.4796926454445664,0.07017543859649122,0.9298245614035088
MDPE,OADNet_text,3.0,0.7,True,0.15,0.049999999999999996,0.6278814489571899,0.4807903402854007,0.049707602339181284,0.9502923976608187
MDPE,OADNet_text,3.0,0.8,True,0.1,0.03333333333333333,0.6915477497255763,0.4632272228320527,0.03508771929824561,0.9649122807017544
MDPE,OADNet_text,3.0,0.5,True,0.3,0.09999999999999999,0.39626783754116357,0.5417124039517014,0.16666666666666666,0.8333333333333334
MDPE,OADNet_text,3.0,0.6,True,0.2,0.06666666666666667,0.5718990120746432,0.49231613611416025,0.09064327485380116,0.9093567251461988
MDPE,OADNet_text,3.0,0.7,True,0.2,0.06666666666666667,0.5718990120746432,0.49231613611416025,0.09064327485380116,0.9093567251461988
MDPE,OADNet_text,3.0,0.8,True,0.075,0.024999999999999998,0.7782656421514819,0.45718990120746433,0.023391812865497075,0.9766081871345029
MDPE,OADNet_audio,3.0,0.5,False,0.3,0.09999999999999999,0.6228070175438597,0.5866228070175439,0.1111111111111111,0.8888888888888888
MDPE,OADNet_audio,3.0,0.6,False,0.3,0.09999999999999999,0.6228070175438597,0.5866228070175439,0.1111111111111111,0.8888888888888888
MDPE,OADNet_audio,3.0,0.7,True,0.25,0.08333333333333333,0.668859649122807,0.5855263157894737,0.10818713450292397,0.8918128654970761
MDPE,OADNet_audio,3.0,0.8,True,0.2,0.06666666666666667,0.7050438596491229,0.5707236842105263,0.09941520467836257,0.9005847953216374
MDPE,OADNet_audio,3.0,0.5,False,0.3,0.09999999999999999,0.631578947368421,0.5175438596491229,0.023391812865497075,0.9766081871345029
MDPE,OADNet_audio,3.0,0.6,True,0.3,0.09999999999999999,0.631578947368421,0.5175438596491229,0.023391812865497075,0.9766081871345029
MDPE,OADNet_audio,3.0,0.7,True,0.2,0.06666666666666667,0.7478070175438597,0.5087719298245614,0.011695906432748537,0.9883040935672515
MDPE,OADNet_audio,3.0,0.8,True,0.15,0.049999999999999996,0.7971491228070176,0.5093201754385965,0.011695906432748537,0.9883040935672515
MDPE,OADNet_audio,3.0,0.5,False,0.3,0.09999999999999999,0.5471491228070176,0.5827850877192983,0.11403508771929824,0.8859649122807017
MDPE,OADNet_audio,3.0,0.6,True,0.3,0.09999999999999999,0.5471491228070176,0.5827850877192983,0.11403508771929824,0.8859649122807017
MDPE,OADNet_audio,3.0,0.7,True,0.2,0.06666666666666667,0.7587719298245614,0.5197368421052632,0.02046783625730994,0.97953216374269
MDPE,OADNet_audio,3.0,0.8,True,0.15,0.049999999999999996,0.8278508771929824,0.5093201754385965,0.011695906432748537,0.9883040935672515
MDPE,OADNet_audio,3.0,0.5,False,0.3,0.09999999999999999,0.625,0.5603070175438597,0.06432748538011696,0.935672514619883
MDPE,OADNet_audio,3.0,0.6,True,0.3,0.09999999999999999,0.625,0.5603070175438597,0.06432748538011696,0.935672514619883
MDPE,OADNet_audio,3.0,0.7,True,0.2,0.06666666666666667,0.7445175438596491,0.537828947368421,0.043859649122807015,0.956140350877193
MDPE,OADNet_audio,3.0,0.8,True,0.15,0.049999999999999996,0.8026315789473685,0.5197368421052632,0.023391812865497075,0.9766081871345029
MDPE,OADNet_audio,3.0,0.5,False,0.3,0.09999999999999999,0.6502192982456141,0.5773026315789473,0.08187134502923976,0.9181286549707602
MDPE,OADNet_audio,3.0,0.6,False,0.3,0.09999999999999999,0.6502192982456141,0.5773026315789473,0.08187134502923976,0.9181286549707602
MDPE,OADNet_audio,3.0,0.7,True,0.25,0.08333333333333333,0.7214912280701754,0.5603070175438597,0.06432748538011696,0.935672514619883
MDPE,OADNet_audio,3.0,0.8,True,0.2,0.06666666666666667,0.7653508771929824,0.5548245614035088,0.05847953216374269,0.9415204678362573
MDPE,OADNet_audio,3.0,0.5,False,0.3,0.09999999999999999,0.543859649122807,0.5866228070175439,0.14327485380116958,0.8567251461988304
MDPE,OADNet_audio,3.0,0.6,True,0.25,0.08333333333333333,0.6260964912280702,0.5663377192982456,0.11403508771929824,0.8859649122807017
MDPE,OADNet_audio,3.0,0.7,True,0.2,0.06666666666666667,0.6787280701754386,0.5641447368421053,0.10526315789473684,0.8947368421052632
MDPE,OADNet_audio,3.0,0.8,True,0.15,0.049999999999999996,0.7280701754385965,0.5679824561403509,0.09649122807017543,0.9035087719298246
MDPE,OADNet_audio,3.0,0.5,False,0.3,0.09999999999999999,0.6359649122807017,0.5953947368421053,0.14327485380116958,0.8567251461988304
MDPE,OADNet_audio,3.0,0.6,True,0.3,0.09999999999999999,0.6359649122807017,0.5953947368421053,0.14327485380116958,0.8567251461988304
MDPE,OADNet_audio,3.0,0.7,True,0.2,0.06666666666666667,0.7236842105263158,0.5592105263157895,0.09649122807017543,0.9035087719298246
MDPE,OADNet_audio,3.0,0.8,True,0.15,0.049999999999999996,0.7763157894736842,0.5515350877192983,0.09064327485380116,0.9093567251461988
