dataset,config,fold,seed,r,B,feasible,selected_alpha_total,selected_alpha_lie,test_q_truth,test_q_lie,a,alpha_truth,alpha_lie,sel_reject,sel_fn,sel_fp,sel_expected_cost,sel_q_truth,sel_q_lie,selected
SEUMLD,OADNet_text,0,42,3.0,0.8,True,0.1,0.03333333333333333,0.5423179864883423,0.8943343088030815,0.05,0.05,0.016666666666666666,0.8821428571428571,0.0,0.03409090909090909,0.4625,0.4593132734298706,0.9451616778969765,0
SEUMLD,OADNet_text,0,42,3.0,0.8,True,0.1,0.03333333333333333,0.5423179864883423,0.8943343088030815,0.075,0.075,0.024999999999999998,0.825,0.009615384615384616,0.06818181818181818,0.4660714285714286,0.3745955228805542,0.9292140230536461,0
SEUMLD,OADNet_text,0,42,3.0,0.8,True,0.1,0.03333333333333333,0.5423179864883423,0.8943343088030815,0.1,0.1,0.03333333333333333,0.7821428571428571,0.019230769230769232,0.07386363636363637,0.4589285714285714,0.37399014830589294,0.9205631241202354,1
SEUMLD,OADNet_text,0,42,3.0,0.8,True,0.1,0.03333333333333333,0.5423179864883423,0.8943343088030815,0.15,0.15,0.049999999999999996,0.775,0.038461538461538464,0.07386363636363637,0.4767857142857143,0.37399014830589294,0.9186091795563698,0
SEUMLD,OADNet_text,0,42,3.0,0.8,True,0.1,0.03333333333333333,0.5423179864883423,0.8943343088030815,0.2,0.2,0.06666666666666667,0.7321428571428571,0.057692307692307696,0.07386363636363637,0.4767857142857143,0.37399014830589294,0.90361487865448,0
SEUMLD,OADNet_text,0,42,3.0,0.8,True,0.1,0.03333333333333333,0.5423179864883423,0.8943343088030815,0.25,0.25,0.08333333333333333,0.7285714285714285,0.0673076923076923,0.07386363636363637,0.4857142857142857,0.37399014830589294,0.9008791446685791,0
SEUMLD,OADNet_text,0,42,3.0,0.8,True,0.1,0.03333333333333333,0.5423179864883423,0.8943343088030815,0.3,0.3,0.09999999999999999,0.6928571428571428,0.08653846153846154,0.07386363636363637,0.48928571428571427,0.37399014830589294,0.8915891423821449,0
SEUMLD,OADNet_text,0,123,3.0,0.5,False,0.3,0.09999999999999999,0.3932753801345825,0.8526470065116882,0.05,0.05,0.016666666666666666,0.8892857142857142,0.0,0.03977272727272727,0.46964285714285714,0.5212686657905579,0.9734196532517672,0
SEUMLD,OADNet_text,0,123,3.0,0.5,False,0.3,0.09999999999999999,0.3932753801345825,0.8526470065116882,0.075,0.075,0.024999999999999998,0.7964285714285714,0.009615384615384616,0.06818181818181818,0.4517857142857143,0.41251620650291443,0.9568813666701317,0
SEUMLD,OADNet_text,0,123,3.0,0.5,False,0.3,0.09999999999999999,0.3932753801345825,0.8526470065116882,0.1,0.1,0.03333333333333333,0.775,0.019230769230769232,0.07954545454545454,0.4589285714285714,0.3932753801345825,0.95528968796134,0
SEUMLD,OADNet_text,0,123,3.0,0.5,False,0.3,0.09999999999999999,0.3932753801345825,0.8526470065116882,0.15,0.15,0.049999999999999996,0.7678571428571429,0.038461538461538464,0.07954545454545454,0.4767857142857143,0.3932753801345825,0.950659453868866,0
SEUMLD,OADNet_text,0,123,3.0,0.5,False,0.3,0.09999999999999999,0.3932753801345825,0.8526470065116882,0.2,0.2,0.06666666666666667,0.725,0.057692307692307696,0.07954545454545454,0.4767857142857143,0.3932753801345825,0.94989949837327,0
SEUMLD,OADNet_text,0,123,3.0,0.5,False,0.3,0.09999999999999999,0.3932753801345825,0.8526470065116882,0.25,0.25,0.08333333333333333,0.7178571428571429,0.0673076923076923,0.07954545454545454,0.48392857142857143,0.3932753801345825,0.949349895119667,0
SEUMLD,OADNet_text,0,123,3.0,0.5,False,0.3,0.09999999999999999,0.3932753801345825,0.8526470065116882,0.3,0.3,0.09999999999999999,0.65,0.08653846153846154,0.07954545454545454,0.4714285714285714,0.3932753801345825,0.9291384145617485,1
SEUMLD,OADNet_text,0,123,3.0,0.6,False,0.3,0.09999999999999999,0.3932753801345825,0.8526470065116882,0.05,0.05,0.016666666666666666,0.8892857142857142,0.0,0.03977272727272727,0.46964285714285714,0.5212686657905579,0.9734196532517672,0
SEUMLD,OADNet_text,0,123,3.0,0.6,False,0.3,0.09999999999999999,0.3932753801345825,0.8526470065116882,0.075,0.075,0.024999999999999998,0.7964285714285714,0.009615384615384616,0.06818181818181818,0.4517857142857143,0.41251620650291443,0.9568813666701317,0
SEUMLD,OADNet_text,0,123,3.0,0.6,False,0.3,0.09999999999999999,0.3932753801345825,0.8526470065116882,0.1,0.1,0.03333333333333333,0.775,0.019230769230769232,0.07954545454545454,0.4589285714285714,0.3932753801345825,0.95528968796134,0
SEUMLD,OADNet_text,0,123,3.0,0.6,False,0.3,0.09999999999999999,0.3932753801345825,0.8526470065116882,0.15,0.15,0.049999999999999996,0.7678571428571429,0.038461538461538464,0.07954545454545454,0.4767857142857143,0.3932753801345825,0.950659453868866,0
SEUMLD,OADNet_text,0,123,3.0,0.6,False,0.3,0.09999999999999999,0.3932753801345825,0.8526470065116882,0.2,0.2,0.06666666666666667,0.725,0.057692307692307696,0.07954545454545454,0.4767857142857143,0.3932753801345825,0.94989949837327,0
SEUMLD,OADNet_text,0,123,3.0,0.6,False,0.3,0.09999999999999999,0.3932753801345825,0.8526470065116882,0.25,0.25,0.08333333333333333,0.7178571428571429,0.0673076923076923,0.07954545454545454,0.48392857142857143,0.3932753801345825,0.949349895119667,0
SEUMLD,OADNet_text,0,123,3.0,0.6,False,0.3,0.09999999999999999,0.3932753801345825,0.8526470065116882,0.3,0.3,0.09999999999999999,0.65,0.08653846153846154,0.07954545454545454,0.4714285714285714,0.3932753801345825,0.9291384145617485,1
SEUMLD,OADNet_text,0,123,3.0,0.7,True,0.3,0.09999999999999999,0.3932753801345825,0.8526470065116882,0.05,0.05,0.016666666666666666,0.8892857142857142,0.0,0.03977272727272727,0.46964285714285714,0.5212686657905579,0.9734196532517672,0
SEUMLD,OADNet_text,0,123,3.0,0.7,True,0.3,0.09999999999999999,0.3932753801345825,0.8526470065116882,0.075,0.075,0.024999999999999998,0.7964285714285714,0.009615384615384616,0.06818181818181818,0.4517857142857143,0.41251620650291443,0.9568813666701317,0
SEUMLD,OADNet_text,0,123,3.0,0.7,True,0.3,0.09999999999999999,0.3932753801345825,0.8526470065116882,0.1,0.1,0.03333333333333333,0.775,0.019230769230769232,0.07954545454545454,0.4589285714285714,0.3932753801345825,0.95528968796134,0
SEUMLD,OADNet_text,0,123,3.0,0.7,True,0.3,0.09999999999999999,0.3932753801345825,0.8526470065116882,0.15,0.15,0.049999999999999996,0.7678571428571429,0.038461538461538464,0.07954545454545454,0.4767857142857143,0.3932753801345825,0.950659453868866,0
SEUMLD,OADNet_text,0,123,3.0,0.7,True,0.3,0.09999999999999999,0.3932753801345825,0.8526470065116882,0.2,0.2,0.06666666666666667,0.725,0.057692307692307696,0.07954545454545454,0.4767857142857143,0.3932753801345825,0.94989949837327,0
